source,target,weight,pf_alpha
1567,1569,133,0.0026326745218893
272,233,77,0.0026330439586849
929,1366,253,0.0026401966948164
571,518,116,0.0027034124630293
1833,1740,419,0.002712423866432
443,800,77,0.0027595208509403
730,739,116,0.0027755253317237
1734,1790,630,0.0028284110679988
554,539,556,0.0028628724417533
766,278,183,0.0028945807830161
1456,1469,320,0.0029600234606301
257,462,61,0.0029706896194729
1254,1209,221,0.0029799900340807
904,295,606,0.0029869415250961
1812,1754,82,0.0030001077653689
514,741,145,0.0030120754370904
952,942,80,0.0030367135036041
1734,1767,28,0.0030404175272287
1227,1268,350,0.0030627883750207
280,847,224,0.0030705909396275
1093,465,115,0.0030856620626259
891,295,55,0.0030875914151916
1121,372,93,0.0030972016668429
286,295,568,0.00311410941223
574,516,313,0.0031547810554655
150,106,181,0.0031997795900182
248,433,69,0.0033566855232777
1560,1525,105,0.0034326693890792
308,645,917,0.0034335263310548
302,303,5,0.0034336795679042
827,214,17,0.0034422093267931
904,462,169,0.0034646761817429
209,428,81,0.0035010573744356
554,718,438,0.0035073848039812
278,2096,58,0.0035202012286248
539,555,153,0.0035309715599541
286,859,576,0.0035593639105489
257,781,71,0.003565532653299
205,462,54,0.003590603231004
432,289,24,0.0036075311902131
1770,1760,28,0.0036095895002278
574,674,350,0.0036177730548496
1201,1759,131,0.0036277902268919
632,661,70,0.0036493183396468
257,343,103,0.0036552095701553
264,432,79,0.0036577952169819
1812,1740,106,0.0036871759474263
292,868,546,0.0036989054531615
308,891,1243,0.0038034601871434
209,859,744,0.0038056827645069
209,855,486,0.0038364507987929
128,77,381,0.0038536387367701
150,111,281,0.0038743995256034
1095,1706,490,0.0038780430303652
1676,1937,55,0.0038783611475873
1096,480,99,0.0039239629598047
1346,1333,93,0.0039410855344251
451,1059,108,0.0039592119620214
645,987,310,0.0039663882129432
733,697,934,0.0039846080468995
1254,1265,360,0.0039995953351537
574,2228,27,0.0040174819456001
46,72,10,0.004023420586639
1361,1378,44,0.004031453415543
308,597,127,0.0040617366408543
201,433,251,0.0041418198962293
885,881,61,0.0041902725283766
1254,1614,575,0.0041914839979979
893,861,70,0.0042162718516637
2028,128,171,0.004245038267699
691,987,744,0.0042452560571164
1675,2615,10,0.0042763418203933
199,1435,397,0.0042897400120764
856,841,340,0.0043367651267422
1202,1227,109,0.0043533856795647
443,1323,34,0.0044010305293309
506,2179,148,0.0044354933611062
1518,2552,99,0.0044435787941236
1456,1472,50,0.0044622129820271
443,811,35,0.0044736899673401
194,787,8,0.0044777033807859
225,308,176,0.0045055766161392
539,498,215,0.0045401942467687
574,699,493,0.0045867503153855
248,906,14,0.0046040993186851
204,838,76,0.0046091914361914
1734,1779,20,0.0046168988251856
1565,2567,279,0.0046472089999161
766,211,216,0.0046627969576447
1065,1109,237,0.0046893027280494
891,286,1307,0.0047185949384828
1653,1578,93,0.00472570988736
702,538,452,0.0047351338995952
1064,1113,142,0.0048274258029403
209,766,1085,0.0048376848342581
554,2186,172,0.0048397254154648
209,791,48,0.0048433274278164
150,80,28,0.0049058929203472
1565,2566,171,0.0049258806693225
885,449,55,0.0049440554668127
529,927,699,0.0049648358939907
1392,930,178,0.0049858756076952
807,164,100,0.0050520417679182
237,270,120,0.0050622358042156
736,538,118,0.0050657936386898
736,543,60,0.0051088415967645
1734,1786,612,0.0051832339806915
209,370,127,0.0051868513152104
157,730,3191,0.0051999004476499
1330,2468,278,0.0052053431506643
1068,1101,87,0.0052504478321201
461,1116,158,0.0052767467102014
1254,1206,231,0.0053092349026761
700,612,169,0.0053208251295457
774,773,78,0.0053329546848286
273,816,139,0.0053712113546934
259,289,74,0.0053944688266769
754,220,11,0.0054018813398827
894,907,7,0.0054117253905272
292,591,1098,0.0054542377360148
272,236,172,0.0054648065479063
647,676,530,0.0054771052376132
1514,1497,31,0.0054887869065868
295,845,119,0.005557046543379
1201,1754,137,0.0056592587402614
758,884,200,0.0056710481900551
1272,1808,121,0.0056820436551389
1753,1751,135,0.0056830940864341
1180,1179,137,0.005735157312252
237,800,1129,0.0057744509553906
661,687,1358,0.0057904462512513
1202,725,1209,0.0058254616734385
858,781,180,0.005833696212186
891,462,75,0.0058574130645886
904,746,199,0.0058704362761504
884,765,225,0.0058850686360789
845,855,145,0.0058903263016829
813,858,155,0.0059273452890209
574,673,223,0.0059676134481241
800,890,358,0.0060281522473595
236,256,110,0.0060801750563998
1833,1759,984,0.0060877797351215
896,202,192,0.0061843974747591
53,109,92,0.0062504297823631
657,2268,26,0.0062504470105197
736,510,89,0.0062793918131968
733,700,540,0.0062807385910458
292,921,319,0.0062835926570633
273,284,43,0.0063261638479495
627,961,19,0.0063371859768075
1094,1068,104,0.0063747311670797
1659,1536,445,0.006375968483693
806,1407,27,0.0063925118524362
1428,1844,45,0.0063962213979618
248,369,61,0.0064106917623358
157,150,928,0.0064819805829745
539,548,120,0.0064822278910131
765,333,734,0.006502298458543
986,987,143,0.0065190683803567
292,331,96,0.0065354559799454
1526,1523,69,0.0065494223948776
799,278,71,0.0066182022914988
700,541,454,0.0066463180182097
272,2109,63,0.0066625356373032
259,1567,768,0.0067215701924339
284,341,43,0.0067482680751369
833,283,18,0.0067990897303937
280,832,459,0.0068125652829266
766,294,225,0.0068441210601438
1742,1800,25,0.0068572427941175
184,183,38,0.0068742049356342
893,905,361,0.0068885967065532
1288,1276,27,0.0069598891428587
1068,1098,50,0.0069844786415355
292,861,969,0.0069965503581513
774,278,123,0.0070938724161699
1346,2468,93,0.0070990637092012
1053,1116,20,0.007124725016062
201,766,926,0.0071368502390218
443,809,139,0.0071368826357397
217,2090,69,0.0072269752407033
1428,1515,15,0.0072328212854526
199,797,102,0.0072557111940101
1573,1757,189,0.0073528028450103
1083,1076,64,0.0073580128530866
1197,2415,8,0.0073736675029926
1706,1718,124,0.0073854004506175
468,1098,27,0.0073937984217797
733,952,1327,0.0074153426292228
834,848,88,0.0074571111679803
237,809,255,0.007463668814918
1536,2559,127,0.0074637640631021
645,461,663,0.0074843542433074
1659,1654,82,0.0075425875608995
1220,1241,150,0.0075787579330058
1790,1759,82,0.0075795093374154
94,651,548,0.007588554575076
761,1893,16,0.0076041199466838
1205,1219,117,0.0076182961976627
1336,2478,3,0.0076527584979514
1016,1020,62,0.0077066380319835
1068,459,91,0.0077260314057141
926,2322,8,0.007739931090656
627,2258,125,0.0077649866674517
203,432,117,0.0077717307712536
663,683,227,0.0078085418260153
527,643,89,0.0078381762444767
885,884,619,0.0078388915600127
702,579,377,0.0078645322533097
571,548,280,0.0079403401459663
766,341,111,0.0080033220518788
225,765,2279,0.0080083320954912
797,343,612,0.0080852548768713
209,767,133,0.0080892108840624
1347,1330,100,0.0080892108840624
199,150,1632,0.0081004831192882
443,1064,266,0.0081759342837277
1752,1767,28,0.0082152206883737
506,555,636,0.0082352483440317
890,282,72,0.0082362043399492
1807,1769,123,0.008254119209277
1200,1745,172,0.0082960588317656
1342,1343,267,0.0083163805652641
591,2191,1266,0.0083174803885529
885,860,152,0.0084141822925723
1093,1567,688,0.0084513383053622
1762,1821,30,0.0084554668011975
725,634,81,0.0084799266882512
758,841,447,0.0085030396344014
1573,1591,214,0.0085598468428237
905,918,387,0.0085702696635601
733,674,3329,0.008580808846319
730,700,6956,0.0085813235147898
730,510,126,0.0085970031265927
257,809,49,0.0086018189733187
1633,1651,544,0.0087021306246027
237,981,82,0.0087174409043285
591,1392,451,0.0087531090626343
591,1412,298,0.0087531090626343
25,53,12,0.0087872651392042
79,145,26,0.0087999882917985
761,337,23,0.0088054682758462
776,194,17,0.0088791127271059
4,1190,5,0.0089220665141793
883,876,39,0.0089618054032787
807,190,15,0.0090029006324907
150,145,32,0.0090096069822663
1201,1234,58,0.0090107745778239
1573,1567,210,0.0090183192402706
248,341,36,0.0090205738917204
280,1205,554,0.0090657509625078
1288,1279,33,0.0090667247385007
1759,1767,43,0.0090719964204747
1467,1470,12,0.0090893820672627
682,615,44,0.0090970230069658
209,846,274,0.0091284890948233
702,679,182,0.009129449139931
365,360,116,0.0091498025201045
377,2134,74,0.0092546505434237
625,995,243,0.0092610997376833
651,527,589,0.0092715976277402
468,396,25,0.0092885643482983
663,2261,40,0.0092971578243197
209,333,92,0.0093702473271009
529,1005,1546,0.0093932884851369
203,430,43,0.0094181466370431
157,461,274,0.009427010827675
554,725,4784,0.0094446764120968
1508,1431,27,0.0094602650001536
1759,1762,504,0.0094731525937904
904,894,475,0.00948562763651
259,175,122,0.0094918809614214
1382,1385,133,0.0095021547012216
157,987,620,0.0095744402638061
736,683,2063,0.0096211589701396
1548,1101,157,0.0096622772392973
1573,1530,128,0.009713035862206
199,506,207,0.0097944588942838
682,700,379,0.0098255006877688
1530,2557,7,0.0098479676671781
257,294,136,0.0098561261185983
878,194,43,0.009872706049877
1456,1455,67,0.0098787262053816
1614,2594,18,0.0099296663206529
705,611,22,0.009971279471051
673,1303,353,0.0099723925850039
579,549,659,0.0099768739838212
754,264,103,0.0099778768902129
1614,2595,179,0.0099790945209299
938,980,15,0.0099943195079622
765,1507,848,0.0100098960445991
1756,1827,44,0.0100644470709348
875,742,78,0.0100732042784136
822,821,4,0.0101068102669013
904,897,167,0.0101090461150436
1542,1575,121,0.0101135208509632
663,1417,681,0.0101713286152779
280,882,290,0.0101726442865804
554,723,157,0.0101792474472739
1573,2583,83,0.0101901094587194
1805,1260,25,0.0102182830856861
280,862,291,0.0102501205296073
807,813,154,0.0102548238423275
554,729,366,0.0102735907666932
1778,1983,24,0.0103274199632764
157,110,337,0.0103622903606544
691,739,630,0.0103664226504866
733,987,1387,0.0104065521799589
731,522,7,0.0104585359337185
554,714,199,0.0105466818710245
1659,1530,231,0.0105777085260731
1542,1770,55,0.0106471788935919
1201,2060,51,0.0106483250653698
1096,1450,99,0.0106967813338669
1733,1202,1218,0.0107232330184596
806,1115,6,0.0107523492048568
618,620,171,0.0107855884339497
813,1096,253,0.0107900611592577
199,575,1373,0.0108203188321341
529,449,22,0.0108348413465052
665,597,129,0.0108400186918617
377,376,126,0.0108918251015781
280,819,38,0.0108970744861627
506,949,163,0.0109181975871773
673,1294,307,0.0109457072976985
278,2095,26,0.0109892603184891
46,152,15,0.0110049900658546
627,932,377,0.0111385543621666
966,968,508,0.0111583474777148
1733,1677,150,0.0111782422807152
813,865,133,0.0112025633842472
539,565,204,0.0112383917962224
1268,1206,173,0.0112704389496855
878,214,12,0.0112797604196871
1064,466,5,0.011304730878929
199,733,5873,0.011312311534137
645,1508,1174,0.0113145758400617
682,646,96,0.0113951362709571
627,2259,43,0.0114183385772195
432,278,138,0.0114755111882481
725,683,2657,0.0115221923263675
625,663,183,0.0115235073778064
591,674,562,0.0115871230185135
579,541,858,0.0116146803436268
461,1507,69,0.0116571211747263
295,838,104,0.0116734869856181
539,569,293,0.0117266950189473
257,882,99,0.0117643798568859
337,327,21,0.0117683059664858
648,739,288,0.0117727155091894
813,749,31,0.011774969958514
259,53,841,0.0118297122162026
856,1456,786,0.0118440792922324
769,864,841,0.0118605797053472
443,1096,219,0.011865964558995
366,342,80,0.0118718537881154
1456,1495,642,0.0119148865990505
625,612,95,0.0119275432055823
799,162,4,0.0119280232064694
579,548,1666,0.0119562880977527
1833,1820,994,0.0119671215741791
2,2654,7,0.0120034954691245
433,1456,54,0.0120200693372017
1734,1570,119,0.0120646693778314
1734,1467,23,0.012073097540794
1205,1032,8,0.0120924501091724
1302,2463,2,0.0121026847264281
199,627,1715,0.012118647033508
647,606,80,0.0121625628565209
966,959,45,0.012187327385141
687,952,192,0.0121887931968403
627,516,345,0.0122133911086291
806,341,251,0.0122208380661424
461,459,25,0.0122337025767841
651,671,57,0.0123940018255706
891,763,135,0.0124010163076836
1429,2537,32,0.0124369567369242
1254,1207,210,0.0124766643375899
53,682,236,0.0125006327903192
625,986,715,0.0126633605212897
673,1361,132,0.0126861502404283
1456,1494,92,0.0126946130957589
308,806,151,0.0127180010679402
700,2183,101,0.0127315506414551
443,424,3,0.0128409596244636
1820,1845,147,0.0128429166184412
682,687,486,0.0128691593607866
1808,1804,50,0.0128814136253446
894,913,16,0.0129088256798817
292,800,104,0.0129113200676582
1086,1084,12,0.0129205122043678
832,857,16,0.0129249048858737
1301,2459,39,0.0129744732425467
894,912,64,0.0130367641836674
203,792,5,0.0131021897917429
866,2307,287,0.0131534306009338
193,745,116,0.0131925330569268
1219,1231,102,0.013207671270461
682,681,287,0.0132357969775425
272,252,121,0.0132830359466195
554,506,1023,0.0133235352408533
1507,1585,15,0.0133247259524761
529,1422,701,0.013345518584755
1924,1434,55,0.0134230019094249
1101,1109,68,0.0134713771394908
568,620,436,0.0134765700251194
1542,1288,109,0.0135376419143234
462,1512,29,0.0135630581860691
193,874,43,0.0135795049570992
700,510,2172,0.0136412431670385
1514,1494,33,0.0137478174985312
2060,1765,48,0.0138744981972499
571,564,44,0.0138987986863998
259,308,254,0.0139369739502997
929,1353,284,0.0139413969136744
875,461,757,0.013942605267338
280,1202,966,0.0139511924053494
927,926,154,0.0140118373369075
199,921,726,0.0140465138662403
248,340,88,0.0141016033398415
1468,1493,27,0.0141249084772272
1734,1428,144,0.0141691076713018
1456,1460,143,0.0141930303240921
196,433,215,0.0141969127929444
851,836,321,0.014210967308231
1354,2490,27,0.0142129715807186
264,767,28,0.0142236157067671
257,830,15,0.0142842099258911
733,669,122,0.0142852369735513
1065,1086,25,0.0142948485515347
1778,1776,6,0.0143117802762693
878,235,4,0.0144154702496279
625,981,1126,0.0145626514151393
625,611,451,0.0145677788891719
575,1366,1118,0.0145888661788731
1288,1274,288,0.014596440230173
199,625,211,0.0145989621850848
627,947,235,0.0146481337857911
259,1121,193,0.0146586676913568
1095,2363,10,0.0146681180131998
708,739,1484,0.014668283642579
1659,1560,212,0.0146714142546748
1196,1759,12,0.0147237682307906
510,737,1068,0.0147456912506686
574,712,132,0.0148305783977156
700,683,186,0.014843718821728
237,445,307,0.0148479057877869
807,440,43,0.0148850030728893
981,975,487,0.0148952746417077
193,841,382,0.0149412325653106
280,761,24,0.0149488964773667
575,670,132,0.0149928562630389
196,272,228,0.0150260159600033
1336,1332,77,0.0150286731673361
280,261,66,0.015069630558332
554,2182,1180,0.0152040696571463
574,527,414,0.0152232773090426
748,832,42,0.0152328627789634
1456,1502,20,0.0152394618968642
210,763,223,0.0152557210304511
257,810,95,0.0152891985916271
1208,1251,255,0.0153097274540262
443,858,109,0.0153376620477777
248,271,49,0.0153459212745093
806,468,708,0.0153577397982496
683,667,64,0.0153684510216127
858,837,108,0.0155026233192996
574,614,242,0.0155615281942072
810,445,85,0.0155731479523706
1752,1727,230,0.0156525521242096
1734,1261,136,0.0156675986693778
806,167,163,0.0157951287639098
1666,1008,240,0.015843072698776
1014,2332,10,0.0158770190286048
333,262,115,0.0158779380178897
529,682,472,0.0160069893065202
927,988,46,0.0160108865057026
673,731,9,0.0160269608660791
539,1417,73,0.016133718662772
736,652,284,0.0162245393070978
673,1336,196,0.016257494973595
766,274,37,0.0164211329888575
893,836,178,0.0164274755344679
1790,1809,188,0.0164398855051754
365,352,8,0.0165993439801796
813,864,672,0.0166436840699669
1878,698,10,0.0166467780681944
1165,1177,39,0.0166512451668575
1092,1096,246,0.0166528750218158
209,295,415,0.0166812373217965
1288,1285,38,0.0167510085794128
865,370,249,0.0167885290635174
1092,2319,58,0.0167989342664235
443,1121,92,0.0168435946097689
1642,1614,1084,0.0168544078995016
965,938,239,0.0168947826479409
157,272,509,0.0171380520565652
769,289,65,0.0172018982877283
175,180,13,0.0172286713592892
758,1092,440,0.0172380613688705
648,722,587,0.0172697393880715
295,207,33,0.0173164045582884
1742,2644,21,0.0173513121471467
258,270,121,0.0173668833713267
929,797,23,0.0173955544293744
1764,1827,167,0.0174018013544728
1762,1769,356,0.0174481533894982
257,446,49,0.0175399518971031
1330,1344,223,0.0175441437276082
461,1101,836,0.0176033110413338
1064,1068,1527,0.0177189563964599
597,494,141,0.0177458112487337
575,564,802,0.0178199425470058
258,2086,11,0.0178390038307457
237,752,157,0.0179722300362889
1341,2467,45,0.017977643256812
287,369,12,0.0179796253347811
683,618,352,0.0180340861503256
1614,1613,98,0.0180614118593129
300,320,24,0.01811865854304
506,689,230,0.0181436457508532
687,524,165,0.018164641226462
1303,1327,27,0.0181935896189349
651,536,83,0.0182466640962099
799,769,52,0.0182676570037791
806,1734,136,0.0183504381500527
574,538,195,0.0184091166638688
625,700,138,0.0184620227538996
1108,1114,25,0.0184956460281068
461,1096,191,0.0185118262356396
929,930,5,0.0185194842307766
1445,1443,60,0.0186230874045951
845,803,24,0.0186542283391208
1548,1567,846,0.0186627574501254
259,209,356,0.0186672901659139
893,462,51,0.0187226840228716
663,1323,1687,0.0187241608682061
725,618,73,0.0187576066133267
365,883,17,0.0188349633739777
1154,1144,71,0.0188735289780804
209,368,148,0.0189151055844323
885,450,19,0.0189207961150961
579,536,425,0.0189585692084975
1301,1345,48,0.0189639977180837
332,346,72,0.0190225032375526
1165,2390,3,0.0190445099473564
853,922,14,0.0190548094304461
813,868,18,0.0190787598730544
765,755,117,0.0191582517424424
1123,1174,16,0.0192018934630249
597,1417,549,0.0192137407085547
1083,2353,14,0.0192168464878201
1301,2461,116,0.0192177389290758
237,210,551,0.0192428242062408
807,781,634,0.0192737646430277
291,365,41,0.0192795317933469
408,413,13,0.0193110930288759
938,978,227,0.0193531357993477
810,905,300,0.0194881001727544
663,726,106,0.019489891337662
875,1429,223,0.0195129190729717
904,224,190,0.0195341875341767
1096,1323,245,0.0195592341654701
187,426,35,0.0196067448945439
1093,1068,120,0.0196348741269414
921,898,66,0.0196483902671303
647,700,308,0.0196652200112912
1752,1798,1032,0.0196679577873597
758,1366,468,0.0196858034386505
157,105,160,0.0197093041005573
579,608,85,0.0197471599112845
904,691,1294,0.0197797749827245
209,1507,283,0.0197891330021461
848,334,31,0.0197912483614093
266,749,16,0.0198160231765584
799,395,91,0.0198193545161023
1753,1744,36,0.0198387544860651
1798,1748,295,0.0198555775910701
574,150,156,0.0198605986413572
806,443,126,0.0199214495011556
432,773,29,0.0199589868522796
575,533,157,0.0199597867351695
648,488,426,0.0199942534982499
799,794,87,0.0200210653941278
248,748,29,0.0200372069488772
167,1065,25,0.0200509118517249
529,685,1051,0.0200539109268841
1254,1212,296,0.0200888148234556
758,233,482,0.0201034123951774
673,612,1057,0.0201150272392231
2083,247,20,0.0201242134034067
1542,1753,31,0.0201779804891778
1659,1035,587,0.020249305317071
647,629,196,0.0202662103794593
1166,2410,6,0.0203031360059299
292,827,48,0.0204089534742832
433,770,46,0.0204091777574154
763,260,18,0.0204342459343113
858,1068,558,0.0204793192086732
757,763,543,0.020485836337465
527,741,164,0.020552851588196
1640,2600,68,0.0205836906811502
248,432,69,0.0206237751508933
246,864,449,0.0206849772580066
160,799,89,0.0209012006778329
1272,1790,96,0.0209028865509341
627,610,59,0.0209084431737887
682,981,2433,0.0209526203295592
2084,372,104,0.0209536502532833
1507,1598,186,0.0210632090145251
730,806,2847,0.0210961227527167
1090,1075,37,0.0211176736018062
1752,1642,910,0.0211679705174807
1512,1477,137,0.0211747990034744
552,723,154,0.0212023537459564
691,576,473,0.0212517090812978
92,95,35,0.0213585414045163
682,736,184,0.0213669731944237
1205,1847,107,0.021381655323199
1526,1536,156,0.0214016961414975
1219,1809,383,0.0215216952611597
981,939,424,0.0216001381204397
930,1321,115,0.0216382437045548
529,730,384,0.0216394667655182
847,838,253,0.0216553288335611
160,781,26,0.0217162086006122
1135,2380,10,0.0217563278520026
1121,1065,17,0.0217946171785702
730,2279,111,0.0217980749542191
259,150,2201,0.0218981144113276
1642,1656,103,0.0219563744223964
799,807,274,0.022048682307448
891,445,332,0.0221350499041724
529,858,1983,0.022135946813328
682,2273,101,0.0222043437395093
1428,1497,30,0.0222837798065224
691,532,67,0.0223201723682393
806,1542,2007,0.0223630844432371
257,822,77,0.0224289748822179
806,771,329,0.0224326983611929
1014,1020,42,0.0224403232872449
1666,1727,352,0.0224554295070898
625,627,141,0.0224635564740526
575,709,232,0.0224695976607376
248,431,13,0.0224710606085575
1571,2578,356,0.0225486158938987
1167,2395,38,0.0225652538546175
144,2062,7,0.0225838018749368
754,205,144,0.0226481400703386
2060,1790,159,0.0227012817935971
132,40,31,0.0227111034677566
741,1417,607,0.0227197098076416
1844,1821,201,0.0227308047224171
1456,747,64,0.0227396640409913
741,537,73,0.0227636819957875
1382,1384,146,0.0227729048501171
1620,1619,12,0.0227776364518952
891,258,100,0.0228664123631819
225,758,90,0.0229130229132045
396,393,9,0.0230616623444337
1508,1570,34,0.0230632450348808
1121,1642,93,0.0230993673831799
682,692,1894,0.0231379513829517
128,971,224,0.0231792074544018
280,849,565,0.0232005277035124
126,2660,1,0.0232029989127593
1518,1543,82,0.0232061954984928
1573,1531,272,0.0232268944473265
648,586,221,0.023234907679289
1507,855,255,0.0233766718600962
1733,1676,421,0.0234004500448196
257,365,109,0.0234116649588196
1752,2635,33,0.0234219851743685
806,382,40,0.0234238023092238
506,984,1112,0.0234257017445095
1311,1342,125,0.023477290754475
1468,1495,30,0.023501757754107
810,758,111,0.0235038950498361
682,578,140,0.0235044451208424
554,595,304,0.0235304542676192
1096,1441,67,0.0235504250163715
308,856,846,0.0235723217994992
648,728,118,0.0236534787297318
2307,867,1,0.0236663710138867
199,301,590,0.0237130590664074
1201,1653,273,0.0237968947958393
1548,1524,36,0.0238159957532783
1668,1733,407,0.0238205948536648
937,984,13,0.0238262880666964
1536,1540,115,0.0238310997199906
1808,1830,125,0.0238648192368219
697,538,125,0.023917991255934
885,890,825,0.024008666101649
741,740,88,0.0240846897240032
248,763,74,0.0241370602253694
682,661,251,0.0241480630064057
1294,1303,364,0.0241568157953164
1330,2481,20,0.0241637613643366
1847,1442,8,0.0241913739571631
264,252,57,0.0242054302477784
691,608,368,0.0242185974389815
1208,1206,188,0.0242207112130388
1121,1070,16,0.0242241790159368
856,1096,441,0.0242694165774092
491,2204,42,0.024291340189298
248,2096,45,0.0243168193996466
1306,1309,30,0.0243277967017863
468,484,71,0.0243890666707457
1808,1208,1308,0.0244193577264428
134,1862,5,0.0244383581396138
1659,904,1484,0.024444778055419
1068,1108,334,0.0244523085636074
257,741,114,0.0244633309591487
246,816,54,0.0244730862984568
308,224,54,0.0244886339467374
1673,2615,9,0.0244960204376036
766,233,354,0.0244992342759008
204,201,445,0.0246186047225604
1362,2271,72,0.0246235085360515
1094,183,30,0.0246503807649985
365,765,1674,0.0246531590763587
554,965,1823,0.02467052902409
847,1109,43,0.0247085505230908
1094,890,185,0.0247241419422086
170,173,1,0.0247438420306468
1456,1468,101,0.024756513908159
806,395,76,0.024768197467258
