source,target,weight,is_backbone,bridge
MmeThenardier,Cosette,1,False,0.709
MmeThenardier,Javert,5,False,0.0
MmeThenardier,Eponine,2,False,0.036
MmeThenardier,Anzelma,2,False,0.134
MmeThenardier,Magnon,1,False,0.975
MmeThenardier,Gueulemer,1,False,0.843
MmeThenardier,Babet,6,False,0.0
MmeThenardier,Claquesous,4,False,0.0
Thenardier,Cosette,1,False,1.132
Thenardier,Javert,1,False,1.133
Thenardier,Pontmercy,1,False,2.101
Thenardier,Boulatruelle,1,False,0.987
Thenardier,Eponine,3,False,0.0
Thenardier,Anzelma,2,False,0.332
Thenardier,Gavroche,1,False,3.188
Thenardier,Marius,1,False,1.003
Thenardier,Gueulemer,1,False,0.895
Thenardier,Babet,1,False,0.57
Thenardier,Claquesous,4,False,0.0
Thenardier,Montparnasse,2,False,0.187
Thenardier,Brujon,3,False,0.0
Cosette,Javert,1,False,0.868
Cosette,Woman2,1,False,0.234
Cosette,Gillenormand,2,False,0.168
Cosette,MlleGillenormand,2,False,1.271
Cosette,LtGillenormand,2,False,0.467
Cosette,Marius,1,False,0.659
Cosette,Toussaint,1,False,0.483
Javert,Fauchelevent,1,False,2.549
Javert,Bamatabois,2,False,0.578
Javert,Simplice,2,False,0.549
Javert,Woman1,1,False,0.766
Javert,Woman2,1,False,0.506
Javert,Gavroche,1,False,2.078
Javert,Enjolras,7,False,0.0
Javert,Gueulemer,1,False,0.422
Javert,Babet,1,False,0.265
Javert,Claquesous,1,False,0.59
Javert,Montparnasse,2,False,0.089
Javert,Toussaint,1,False,0.531
Fauchelevent,MotherInnocent,1,False,0.741
Fauchelevent,Gribier,2,False,0.987
Bamatabois,Judge,2,False,0.685
Bamatabois,Champmathieu,3,False,0.128
Bamatabois,Brevet,2,False,0.383
Bamatabois,Chenildieu,2,False,0.255
Bamatabois,Cochepaille,2,False,0.255
Perpetue,Simplice,1,False,0.318
Judge,Champmathieu,2,False,0.013
Judge,Brevet,2,False,0.013
Judge,Chenildieu,2,False,0.013
Judge,Cochepaille,2,False,0.013
Champmathieu,Brevet,1,False,0.487
Champmathieu,Chenildieu,2,False,0.006
Champmathieu,Cochepaille,2,False,0.013
Brevet,Chenildieu,1,False,0.026
Brevet,Cochepaille,2,False,0.006
Chenildieu,Cochepaille,1,False,0.019
Pontmercy,MmePontmercy,1,False,1.228
Pontmercy,Marius,21,True,0.0
Eponine,Anzelma,1,False,0.522
Eponine,Marius,19,True,0.0
Eponine,Mabeuf,1,False,0.329
Eponine,Courfeyrac,9,False,0.0
Eponine,Gueulemer,1,False,0.652
Eponine,Babet,2,False,0.008
Eponine,Claquesous,1,False,0.433
Eponine,Montparnasse,2,False,0.17
Eponine,Brujon,3,False,0.0
MmeBurgon,Jondrette,1,False,0.987
MmeBurgon,Gavroche,1,False,1.948
Gavroche,Marius,1,False,1.163
Gavroche,Mabeuf,1,False,1.434
Gavroche,Enjolras,6,False,0.0
Gavroche,Combeferre,15,True,0.0
Gavroche,Prouvaire,1,False,1.548
Gavroche,Feuilly,2,False,0.521
Gavroche,Courfeyrac,17,True,0.0
Gavroche,Bahorel,5,False,0.0
Gavroche,Bossuet,12,True,0.0
Gavroche,Joly,5,False,0.0
Gavroche,Grantaire,3,False,0.0
Gavroche,Gueulemer,1,False,0.756
Gavroche,Babet,1,False,0.302
Gavroche,Montparnasse,1,False,3.102
Gavroche,Child1,2,False,0.974
Gavroche,Child2,2,False,0.974
Gavroche,Brujon,3,False,0.0
Gavroche,MmeHucheloup,1,True,5.132
Gillenormand,Magnon,1,False,0.197
Gillenormand,MlleGillenormand,2,False,0.184
Gillenormand,LtGillenormand,1,False,0.652
Gillenormand,Marius,2,False,0.256
Gillenormand,BaronessT,1,False,0.423
MlleGillenormand,MmePontmercy,1,False,0.427
MlleGillenormand,MlleVaubois,1,False,0.987
MlleGillenormand,LtGillenormand,1,False,0.236
MlleGillenormand,Marius,5,False,0.0
LtGillenormand,Marius,4,False,0.0
Marius,BaronessT,1,False,1.077
Marius,Mabeuf,1,False,0.507
Marius,Enjolras,1,False,0.753
Marius,Combeferre,5,False,0.0
Marius,Feuilly,6,False,0.0
Marius,Courfeyrac,13,True,0.0
Marius,Bahorel,5,False,0.0
Marius,Bossuet,5,False,0.0
Marius,Joly,7,False,0.0
Mabeuf,Enjolras,4,False,0.0
Mabeuf,Combeferre,6,False,0.0
Mabeuf,Feuilly,2,False,0.113
Mabeuf,Courfeyrac,7,False,0.0
Mabeuf,Bahorel,6,False,0.0
Mabeuf,Bossuet,4,False,0.0
Mabeuf,Joly,3,False,0.019
Mabeuf,MotherPlutarch,3,False,0.987
Enjolras,Combeferre,2,False,0.25
Enjolras,Prouvaire,4,False,0.0
Enjolras,Feuilly,5,False,0.0
Enjolras,Courfeyrac,2,False,0.045
Enjolras,Bahorel,2,False,0.045
Enjolras,Bossuet,10,False,0.0
Enjolras,Joly,5,False,0.0
Enjolras,Grantaire,3,False,0.0
Enjolras,Claquesous,1,False,0.767
Enjolras,MmeHucheloup,1,False,0.405
Combeferre,Prouvaire,2,False,0.131
Combeferre,Feuilly,1,False,0.347
Combeferre,Courfeyrac,1,False,0.177
Combeferre,Bahorel,4,False,0.0
Combeferre,Bossuet,6,False,0.0
Combeferre,Joly,5,False,0.0
Combeferre,Grantaire,1,False,0.178
Prouvaire,Feuilly,1,False,0.553
Prouvaire,Courfeyrac,6,False,0.0
Prouvaire,Bahorel,3,False,0.003
Prouvaire,Bossuet,2,False,0.021
Prouvaire,Joly,5,False,0.0
Prouvaire,Grantaire,2,False,0.023
Feuilly,Courfeyrac,3,False,0.0
Feuilly,Bahorel,2,False,0.02
Feuilly,Bossuet,9,False,0.0
Feuilly,Joly,2,False,0.019
Feuilly,Grantaire,2,False,0.011
Courfeyrac,Bahorel,1,False,0.024
Courfeyrac,Bossuet,1,False,0.025
Courfeyrac,Joly,5,False,0.0
Courfeyrac,Grantaire,1,False,0.02
Courfeyrac,MmeHucheloup,1,False,0.988
Bahorel,Bossuet,1,False,0.021
Bahorel,Joly,1,False,0.021
Bahorel,Grantaire,1,False,0.022
Bahorel,MmeHucheloup,1,False,0.856
Bossuet,Joly,2,False,0.003
Bossuet,Grantaire,1,False,0.028
Bossuet,MmeHucheloup,1,False,0.899
Joly,Grantaire,1,False,0.038
Joly,MmeHucheloup,1,False,0.891
Grantaire,MmeHucheloup,1,False,1.028
Gueulemer,Babet,1,False,0.048
Gueulemer,Claquesous,1,False,0.148
Gueulemer,Montparnasse,1,False,0.777
Gueulemer,Brujon,1,False,0.277
Babet,Claquesous,1,False,0.113
Babet,Montparnasse,1,False,0.573
Babet,Brujon,1,False,0.211
Claquesous,Montparnasse,1,False,0.907
Claquesous,Brujon,1,False,0.126
Montparnasse,Brujon,1,False,0.373
Child1,Child2,3,False,0.013
