source,target,weight,score,ds_backbone
Listolier,Tholomyes,4,0.1486025401627955,True
Dahlia,Fameuil,3,0.14809557023860648,True
Fameuil,Zephine,3,0.14776365341472106,True
Fameuil,Tholomyes,4,0.14734386526597193,True
Grantaire,Prouvaire,2,0.14365221394619518,True
Feuilly,Grantaire,2,0.1436401379162926,True
Brujon,Eponine,3,0.14108999861996982,True
Blacheville,Dahlia,3,0.1402139952178181,True
Blacheville,Zephine,3,0.1398997428476505,True
MlleGillenormand,MmePontmercy,1,0.13985847422361866,True
Blacheville,Tholomyes,4,0.1395022956222789,True
Enjolras,Feuilly,5,0.13849210808124843,True
Favourite,Listolier,3,0.13848992830120915,True
Joly,MmeHucheloup,1,0.13827715506492919,True
Courfeyrac,Eponine,9,0.13781177746706474,True
Fameuil,Favourite,3,0.13731690800139068,True
Chenildieu,Cochepaille,1,0.13677301603217676,True
Babet,MmeThenardier,6,0.13126272940021821,True
Courfeyrac,Gavroche,17,0.13005772270514407,True
Champtercier,Myriel,1,0.12339425115552233,True
CountessDeLo,Myriel,1,0.12339425115552233,True
Cravatte,Myriel,1,0.12339425115552233,True
Geborand,Myriel,1,0.12339425115552233,True
Myriel,Napoleon,1,0.12339425115544946,True
Myriel,OldMan,1,0.12339425115544946,True
Brevet,Champmathieu,1,0.12074889172144374,True
MotherInnocent,Valjean,3,0.11637955772732683,True
Enjolras,Grantaire,3,0.114514209154697,True
Courfeyrac,MmeHucheloup,1,0.11296296790713144,True
Dahlia,Tholomyes,3,0.11123017448878444,True
Tholomyes,Zephine,3,0.11098088164250841,True
Enjolras,Prouvaire,4,0.11080355505114153,True
Courfeyrac,Joly,5,0.10933549283016561,True
Bossuet,MmeHucheloup,1,0.10876354603062348,True
Eponine,Montparnasse,2,0.10550857580330672,True
Favourite,Tholomyes,3,0.10313464212768736,True
Bahorel,Feuilly,2,0.10260498853841339,True
Enjolras,MmeHucheloup,1,0.10254747382144931,True
Enjolras,Joly,5,0.09925446185137685,True
Courfeyrac,Feuilly,3,0.09153626647128439,True
Babet,Eponine,2,0.09119755500389196,True
Claquesous,MmeThenardier,4,0.08939532561754866,True
Combeferre,Prouvaire,2,0.08885410317767825,True
Bossuet,Gavroche,12,0.08839278118082029,True
Valjean,Woman2,3,0.08609991046359798,True
Valjean,Woman1,2,0.08595205220286908,True
Feuilly,Joly,2,0.0747005010971448,True
Isabeau,Valjean,1,0.0725281368486763,True
Gervais,Valjean,1,0.0725281368486763,True
MmeDeR,Valjean,1,0.0725281368486763,True
Scaufflaire,Valjean,1,0.0725281368486763,True
Bahorel,Grantaire,1,0.07070294517147574,True
Brujon,Gavroche,3,0.07049233544358861,True
Claquesous,Thenardier,4,0.06621657811902794,True
Bahorel,Gavroche,5,0.06431653838943441,True
Child2,Gavroche,2,0.06322645383679128,True
Child1,Gavroche,2,0.06322645383679118,True
Fantine,Zephine,9,0.061410381164086196,True
Combeferre,Grantaire,1,0.06122235148333151,True
Toussaint,Valjean,2,0.059096920256175633,True
Bossuet,Prouvaire,2,0.05876151009971485,True
Bahorel,Mabeuf,6,0.05687680850479533,True
Eponine,Gueulemer,1,0.056608027905003716,True
Bahorel,Enjolras,2,0.054534083627510825,True
Gavroche,Grantaire,3,0.05402403773646054,True
Eponine,Marius,19,0.05358465401025056,True
Fantine,Simplice,3,0.052788021343244396,True
Feuilly,Prouvaire,1,0.05212267903496548,True
Grantaire,Joly,1,0.05147454825137167,True
Brujon,Thenardier,3,0.05014176408085271,True
Claquesous,Enjolras,1,0.04933486461237559,True
Combeferre,Mabeuf,6,0.04925016847721826,True
Marius,Tholomyes,12,0.049134366130156024,True
Gavroche,MmeHucheloup,1,0.04837852556816481,True
Fantine,Perpetue,1,0.047669772757326145,True
Combeferre,Enjolras,2,0.047221580763962386,True
Gavroche,Joly,5,0.046824990821245145,True
Claquesous,Eponine,1,0.04658390942388326,True
Combeferre,Feuilly,1,0.04442553791243241,True
Courfeyrac,Marius,13,0.04277208026156428,True
Bossuet,Joly,2,0.04210963246409607,True
Courfeyrac,Grantaire,1,0.04205118147986613,True
Enjolras,Gavroche,6,0.04167081840132516,True
Bossuet,Grantaire,1,0.04048792004374022,True
Courfeyrac,Mabeuf,7,0.03946586919114333,True
Montparnasse,Thenardier,2,0.037496535319177404,True
Bahorel,Joly,1,0.03676928684398144,True
Gavroche,MmeBurgon,1,0.035456073293966425,True
Feuilly,Marius,6,0.033717975998349706,True
Courfeyrac,Enjolras,2,0.03243461275760029,True
Bahorel,Courfeyrac,1,0.030037989773305043,True
Javert,Simplice,2,0.030014224071834232,True
Bahorel,Bossuet,1,0.028921321242767885,True
Gavroche,Gueulemer,1,0.02828288419373966,True
Joly,Marius,7,0.02819241409597476,True
Bahorel,Marius,5,0.027659967968077712,True
Fameuil,Fantine,4,0.027177786145026066,True
Gueulemer,MmeThenardier,1,0.02715998226221133,True
MmeThenardier,Thenardier,12,0.026856509360421332,True
Gavroche,Montparnasse,1,0.02635877046256582,True
Feuilly,Gavroche,2,0.026135192762574363,True
Combeferre,Courfeyrac,1,0.026010180527754244,True
Blacheville,Fantine,4,0.025731397437678633,True
Fantine,Favourite,4,0.02536423112951814,True
Javert,Montparnasse,2,0.024096917212917648,True
Combeferre,Marius,5,0.023951028869480962,True
Marguerite,Valjean,1,0.022926927898196094,True
Babet,Gavroche,1,0.0227835074144669,True
Enjolras,Javert,7,0.02222316139832266,True
Bossuet,Mabeuf,4,0.021713785372284508,True
MmeMagloire,Myriel,10,0.02100406205647495,True
Joly,Mabeuf,3,0.02070463126383552,True
Fantine,Listolier,3,0.020557634202035557,True
Enjolras,Mabeuf,4,0.02047279551185249,True
Gueulemer,Thenardier,1,0.020117842568986508,True
Feuilly,Mabeuf,2,0.019260096833675616,True
MlleBaptistine,Myriel,8,0.01880707737473164,True
Bossuet,Courfeyrac,1,0.01720120322097855,True
Babet,Thenardier,1,0.016206091719358207,True
Bossuet,Marius,5,0.015839433121037163,True
Fantine,Tholomyes,3,0.015309447209818007,True
Pontmercy,Thenardier,1,0.015157902672658374,True
Eponine,Thenardier,3,0.013994228932651868,True
Dahlia,Fantine,2,0.013677937529143033,True
Bamatabois,Javert,2,0.013429838954801302,True
Gavroche,Prouvaire,1,0.013069348394713375,True
Gueulemer,Javert,1,0.012928607476837193,True
Eponine,MmeThenardier,2,0.012595430906220065,True
Fantine,MmeThenardier,7,0.011804933122835839,True
Claquesous,Javert,1,0.010639216767780757,True
Babet,Javert,1,0.010414744913860775,True
Marius,MlleGillenormand,5,0.008238878541555751,True
Bamatabois,Fantine,1,0.00787384324201526,True
Gueulemer,Valjean,5,0.007621653609233884,True
Babet,Valjean,6,0.007367597512807477,True
Javert,MmeThenardier,5,0.00719140478916095,True
Gillenormand,MlleGillenormand,2,0.007186132460909709,True
Claquesous,Valjean,4,0.005017637387900996,True
Eponine,Mabeuf,1,0.004833166084477471,True
Cosette,MlleGillenormand,2,0.004367775010664825,True
Fantine,Javert,5,0.004013841742592277,True
MlleBaptistine,Valjean,3,0.00391813602401028,True
Simplice,Valjean,2,0.0035390713177737955,False
Cosette,Gillenormand,2,0.0035025486143908883,False
MmeMagloire,Valjean,3,0.0035006812082122043,False
Enjolras,Marius,1,0.002987073984840895,False
Champmathieu,Valjean,3,0.0028228088567480245,False
Judge,Valjean,3,0.0026842896437016786,False
Gillenormand,Marius,2,0.0026428044708647668,False
Enjolras,Valjean,7,0.002620402676647992,False
Chenildieu,Valjean,2,0.002483737572744884,False
Brevet,Valjean,2,0.0024430221044251547,False
Gavroche,Mabeuf,1,0.0024147789936399405,False
Gavroche,Thenardier,1,0.0023307856766928733,False
Cochepaille,Valjean,2,0.002096700554720974,False
Bossuet,Valjean,5,0.001985184485726049,False
MlleGillenormand,Valjean,9,0.0018586515715624569,False
Cosette,MmeThenardier,1,0.0017934883796672987,False
Thenardier,Valjean,13,0.0016330363622856442,False
Gavroche,Javert,1,0.0014978650430961496,False
Montparnasse,Valjean,1,0.0014207425814618442,False
Gavroche,Marius,1,0.0014092032671739786,False
Javert,Valjean,17,0.0013723692643133583,False
Cosette,Thenardier,1,0.0013284661426916475,False
Fantine,Thenardier,1,0.0012492651861646324,False
Javert,Thenardier,1,0.0010654434293352253,False
Mabeuf,Marius,1,0.0010384997589561865,False
Marius,Thenardier,1,0.0010023775963779367,False
Cosette,Javert,1,0.0008537305750471212,False
Fauchelevent,Javert,1,0.0008065003380387674,False
Cosette,Marius,1,0.0008031964703281345,False
Bamatabois,Valjean,1,0.0007918168078033142,False
Fauchelevent,Valjean,8,0.0007607093181782531,False
Gillenormand,Valjean,3,0.0004968328371737732,False
Marius,Valjean,6,0.00045569991913266224,False
Cosette,Valjean,4,0.0004026340045559772,False
Gavroche,Valjean,2,0.0003532182723226323,False
MmeThenardier,Valjean,2,0.00033919461485173487,False
Fantine,Valjean,3,0.00028397458920515167,False
Myriel,Valjean,1,1.7135912888722993e-05,False
