source,target,weight,ultrametric_distance,is_ultrametric
Valjean,Claquesous,12.181818181818182,4.066666666666666,False
Valjean,Montparnasse,16.625,4.066666666666666,False
Valjean,Toussaint,68.5,15.0,False
Marguerite,Fantine,55.0,45.0,False
Listolier,Tholomyes,2.55,2.55,True
Listolier,Fameuil,0.44999999999999996,0.44999999999999996,True
Listolier,Blacheville,0.5,0.44999999999999996,False
Listolier,Favourite,0.631578947368421,0.55,False
Listolier,Dahlia,0.7647058823529411,0.7222222222222221,False
Listolier,Zephine,0.9444444444444446,0.75,False
Listolier,Fantine,2.0526315789473686,1.7999999999999998,False
Tholomyes,Fameuil,2.5999999999999996,2.55,False
Tholomyes,Blacheville,2.6500000000000004,2.55,False
Tholomyes,Favourite,2.8947368421052633,2.55,False
Tholomyes,Dahlia,3.2941176470588234,2.55,False
Tholomyes,Zephine,3.333333333333333,2.55,False
Tholomyes,Fantine,4.315789473684211,2.55,False
Tholomyes,Cosette,112.0,6.583333333333333,False
Tholomyes,Marius,181.0,6.583333333333333,False
Fameuil,Blacheville,0.4285714285714286,0.4285714285714286,True
Fameuil,Favourite,0.55,0.55,True
Fameuil,Dahlia,0.8235294117647061,0.7222222222222221,False
Fameuil,Zephine,0.8421052631578949,0.75,False
Fameuil,Fantine,2.3333333333333335,1.7999999999999998,False
Blacheville,Favourite,0.7368421052631577,0.55,False
Blacheville,Dahlia,0.7222222222222221,0.7222222222222221,True
Blacheville,Zephine,0.75,0.75,True
Blacheville,Fantine,2.1578947368421053,1.7999999999999998,False
Favourite,Dahlia,0.7222222222222221,0.7222222222222221,True
Favourite,Zephine,0.75,0.75,True
Favourite,Fantine,2.1578947368421053,1.7999999999999998,False
Dahlia,Zephine,0.8888888888888888,0.75,False
Dahlia,Fantine,1.7999999999999998,1.7999999999999998,True
Zephine,Fantine,2.5555555555555554,1.7999999999999998,False
Fantine,MmeThenardier,10.0,6.583333333333333,False
Fantine,Thenardier,7.181818181818182,6.583333333333333,False
Fantine,Javert,6.583333333333333,6.583333333333333,True
Fantine,Bamatabois,20.666666666666664,8.857142857142856,False
Fantine,Perpetue,53.0,53.0,True
Fantine,Simplice,10.2,9.6,False
MmeThenardier,Thenardier,4.066666666666666,4.066666666666666,True
MmeThenardier,Cosette,20.5,5.928571428571429,False
MmeThenardier,Javert,5.75,4.066666666666666,False
MmeThenardier,Eponine,8.875,5.0,False
MmeThenardier,Anzelma,14.0,10.25,False
MmeThenardier,Magnon,inf,inf,True
MmeThenardier,Gueulemer,6.142857142857142,4.066666666666666,False
MmeThenardier,Babet,6.0,4.066666666666666,False
MmeThenardier,Claquesous,4.199999999999999,4.066666666666666,False
Thenardier,Cosette,11.571428571428571,5.928571428571429,False
Thenardier,Javert,1.7692307692307692,1.7692307692307692,True
Thenardier,Pontmercy,69.0,69.0,True
Thenardier,Boulatruelle,inf,inf,True
Thenardier,Eponine,5.666666666666667,5.0,False
Thenardier,Anzelma,15.666666666666668,10.25,False
Thenardier,Gavroche,11.200000000000001,5.928571428571429,False
Thenardier,Marius,11.666666666666668,5.928571428571429,False
Thenardier,Gueulemer,2.769230769230769,1.4499999999999997,False
Thenardier,Babet,1.4499999999999997,1.4499999999999997,True
Thenardier,Claquesous,2.7857142857142856,1.4499999999999997,False
Thenardier,Montparnasse,4.666666666666666,1.4499999999999997,False
Thenardier,Brujon,5.625,1.4499999999999997,False
Cosette,Javert,10.125,5.928571428571429,False
Cosette,Woman2,11.0,11.0,True
Cosette,Gillenormand,6.428571428571429,6.428571428571429,True
Cosette,MlleGillenormand,6.5,6.428571428571429,False
Cosette,LtGillenormand,16.333333333333332,6.428571428571429,False
Cosette,Marius,5.086956521739131,5.086956521739131,True
Cosette,Toussaint,15.0,15.0,True
Javert,Fauchelevent,5.75,5.75,True
Javert,Bamatabois,30.5,8.857142857142856,False
Javert,Simplice,9.6,9.6,True
Javert,Woman1,24.5,24.5,True
Javert,Woman2,11.75,11.0,False
Javert,Gavroche,9.166666666666666,5.928571428571429,False
Javert,Enjolras,10.222222222222223,5.928571428571429,False
Javert,Gueulemer,3.8181818181818183,1.7692307692307692,False
Javert,Babet,2.4375,1.7692307692307692,False
Javert,Claquesous,3.3076923076923075,1.7692307692307692,False
Javert,Montparnasse,8.333333333333334,1.7692307692307692,False
Javert,Toussaint,16.0,15.0,False
Fauchelevent,MotherInnocent,3.333333333333333,3.333333333333333,True
Fauchelevent,Gribier,inf,inf,True
Bamatabois,Judge,1.1111111111111112,1.1111111111111112,True
Bamatabois,Champmathieu,1.5,1.1111111111111112,False
Bamatabois,Brevet,1.5714285714285712,1.1111111111111112,False
Bamatabois,Chenildieu,1.5714285714285712,1.1111111111111112,False
Bamatabois,Cochepaille,1.25,1.1111111111111112,False
Perpetue,Simplice,inf,53.0,False
Judge,Champmathieu,0.6000000000000001,0.6000000000000001,True
Judge,Brevet,0.875,0.6000000000000001,False
Judge,Chenildieu,0.875,0.6000000000000001,False
Judge,Cochepaille,0.6666666666666667,0.6000000000000001,False
Champmathieu,Brevet,0.5555555555555554,0.5555555555555554,True
Champmathieu,Chenildieu,0.875,0.5555555555555554,False
Champmathieu,Cochepaille,1.0,0.5555555555555554,False
Brevet,Chenildieu,0.5,0.5,True
Brevet,Cochepaille,0.625,0.5,False
Chenildieu,Cochepaille,0.33333333333333326,0.33333333333333326,True
Pontmercy,MmePontmercy,inf,inf,True
Pontmercy,Marius,137.0,69.0,False
Eponine,Anzelma,10.25,10.25,True
Eponine,Marius,12.545454545454545,5.928571428571429,False
Eponine,Mabeuf,8.25,5.928571428571429,False
Eponine,Courfeyrac,5.928571428571429,5.928571428571429,True
Eponine,Gueulemer,7.666666666666666,5.0,False
Eponine,Babet,7.285714285714285,5.0,False
Eponine,Claquesous,5.0,5.0,True
Eponine,Montparnasse,7.333333333333334,5.0,False
Eponine,Brujon,6.142857142857142,5.0,False
MmeBurgon,Jondrette,inf,inf,True
MmeBurgon,Gavroche,inf,inf,True
Gavroche,Marius,3.0,3.0,True
Gavroche,Mabeuf,1.8125,1.8125,True
Gavroche,Enjolras,2.3636363636363633,1.8125,False
Gavroche,Combeferre,3.7391304347826084,1.8125,False
Gavroche,Prouvaire,2.4,1.8125,False
Gavroche,Feuilly,2.407407407407407,1.8125,False
Gavroche,Courfeyrac,6.88235294117647,1.8125,False
Gavroche,Bahorel,5.25,1.8125,False
Gavroche,Bossuet,3.7200000000000006,1.8125,False
Gavroche,Joly,3.04,1.8125,False
Gavroche,Grantaire,6.333333333333334,1.8125,False
Gavroche,Gueulemer,12.0,5.928571428571429,False
Gavroche,Babet,13.0,5.928571428571429,False
Gavroche,Montparnasse,14.0,5.928571428571429,False
Gavroche,Child1,42.5,42.5,True
Gavroche,Child2,42.5,42.5,True
Gavroche,Brujon,22.249999999999996,5.928571428571429,False
Gavroche,MmeHucheloup,13.166666666666666,1.833333333333333,False
Gillenormand,Magnon,inf,inf,True
Gillenormand,MlleGillenormand,2.125,2.125,True
Gillenormand,LtGillenormand,2.0,2.0,True
Gillenormand,Marius,14.0,6.428571428571429,False
Gillenormand,BaronessT,12.0,12.0,True
MlleGillenormand,MmePontmercy,inf,inf,True
MlleGillenormand,MlleVaubois,inf,inf,True
MlleGillenormand,LtGillenormand,2.142857142857143,2.125,False
MlleGillenormand,Marius,11.7,6.428571428571429,False
LtGillenormand,Marius,39.333333333333336,6.428571428571429,False
Marius,BaronessT,115.99999999999999,12.0,False
Marius,Mabeuf,3.3103448275862064,3.0,False
Marius,Enjolras,4.068965517241379,3.0,False
Marius,Combeferre,6.63157894736842,3.0,False
Marius,Feuilly,7.4375,3.0,False
Marius,Courfeyrac,5.9565217391304355,3.0,False
Marius,Bahorel,10.333333333333332,3.0,False
Marius,Bossuet,5.608695652173913,3.0,False
Marius,Joly,6.777777777777779,3.0,False
Mabeuf,Enjolras,3.764705882352941,1.8095238095238098,False
Mabeuf,Combeferre,3.0588235294117645,1.8095238095238098,False
Mabeuf,Feuilly,2.0555555555555554,1.8095238095238098,False
Mabeuf,Courfeyrac,6.0769230769230775,1.8095238095238098,False
Mabeuf,Bahorel,3.384615384615385,1.8095238095238098,False
Mabeuf,Bossuet,3.3888888888888893,1.8095238095238098,False
Mabeuf,Joly,1.8095238095238098,1.8095238095238098,True
Mabeuf,MotherPlutarch,inf,inf,True
Enjolras,Combeferre,1.7241379310344827,1.7241379310344827,True
Enjolras,Prouvaire,3.0588235294117645,1.7241379310344827,False
Enjolras,Feuilly,1.9583333333333335,1.7241379310344827,False
Enjolras,Courfeyrac,2.535714285714286,1.7241379310344827,False
Enjolras,Bahorel,2.181818181818182,1.7241379310344827,False
Enjolras,Bossuet,1.8387096774193545,1.7241379310344827,False
Enjolras,Joly,2.25,1.7241379310344827,False
Enjolras,Grantaire,3.8461538461538467,1.7241379310344827,False
Enjolras,Claquesous,13.799999999999999,5.928571428571429,False
Enjolras,MmeHucheloup,9.166666666666666,1.833333333333333,False
Combeferre,Prouvaire,2.625,1.5882352941176472,False
Combeferre,Feuilly,1.458333333333333,1.2083333333333335,False
Combeferre,Courfeyrac,0.9487179487179485,0.9487179487179485,True
Combeferre,Bahorel,1.2000000000000002,1.2000000000000002,True
Combeferre,Bossuet,1.4516129032258065,1.25,False
Combeferre,Joly,1.9130434782608696,1.2000000000000002,False
Combeferre,Grantaire,3.333333333333333,1.4285714285714288,False
Prouvaire,Feuilly,1.5882352941176472,1.5882352941176472,True
Prouvaire,Courfeyrac,5.153846153846153,1.5882352941176472,False
Prouvaire,Bahorel,3.8,1.5882352941176472,False
Prouvaire,Bossuet,4.538461538461538,1.5882352941176472,False
Prouvaire,Joly,2.0,1.5882352941176472,False
Prouvaire,Grantaire,2.2,1.5882352941176472,False
Feuilly,Courfeyrac,3.3684210526315788,1.2083333333333335,False
Feuilly,Bahorel,1.941176470588235,1.2083333333333335,False
Feuilly,Bossuet,2.4761904761904763,1.25,False
Feuilly,Joly,1.2083333333333335,1.2083333333333335,True
Feuilly,Grantaire,2.6363636363636362,1.4285714285714288,False
Courfeyrac,Bahorel,1.535714285714286,1.2000000000000002,False
Courfeyrac,Bossuet,1.7058823529411766,1.25,False
Courfeyrac,Joly,1.7586206896551726,1.2000000000000002,False
Courfeyrac,Grantaire,3.928571428571428,1.4285714285714288,False
Courfeyrac,MmeHucheloup,10.333333333333332,1.833333333333333,False
Bahorel,Bossuet,1.25,1.25,True
Bahorel,Joly,0.6428571428571428,0.6428571428571428,True
Bahorel,Grantaire,1.4285714285714288,1.4285714285714288,True
Bahorel,MmeHucheloup,4.5,1.833333333333333,False
Bossuet,Joly,1.2580645161290325,1.25,False
Bossuet,Grantaire,3.0,1.4285714285714288,False
Bossuet,MmeHucheloup,9.0,1.833333333333333,False
Joly,Grantaire,1.8666666666666667,1.4285714285714288,False
Joly,MmeHucheloup,6.166666666666667,1.833333333333333,False
Grantaire,MmeHucheloup,1.833333333333333,1.833333333333333,True
Gueulemer,Babet,0.6923076923076923,0.6923076923076923,True
Gueulemer,Claquesous,1.0,0.8571428571428572,False
Gueulemer,Montparnasse,1.25,1.25,True
Gueulemer,Brujon,2.5,1.25,False
Babet,Claquesous,0.8571428571428572,0.8571428571428572,True
Babet,Montparnasse,1.6666666666666665,1.25,False
Babet,Brujon,2.857142857142857,1.25,False
Claquesous,Montparnasse,1.875,1.25,False
Claquesous,Brujon,2.571428571428571,1.25,False
Montparnasse,Brujon,1.125,1.125,True
Child1,Child2,inf,42.5,False
