source,target,weight,infection_participation
5,30,2,0.1
5,32,1,0.02
5,33,16,0.18
5,35,1,0.02
6,10,1,0.06
6,15,1,0.09
6,19,7,0.13
6,20,1,0.04
6,21,2,0.17
6,31,1,0.08
7,8,2,0.06
7,9,2,0.06
7,10,2,0.04
7,11,4,0.07
7,12,1,0.07
7,13,2,0.09
7,16,1,0.08
7,19,1,0.02
7,24,1,0.09
7,28,1,0.03
7,29,6,0.18
7,30,2,0.08
7,31,3,0.06
7,32,1,0.03
7,34,1,0.06
7,35,2,0.03
7,36,3,0.08
7,37,1,0.06
7,38,2,0.12
7,39,2,0.12
7,41,2,0.07
7,42,2,0.12
7,43,1,0.03
8,9,2,0.08
8,10,3,0.2
8,11,4,0.14
8,12,1,0.1
8,14,2,0.1
8,16,1,0.05
8,18,1,0.03
8,19,2,0.07
8,22,1,0.03
8,25,3,0.17
8,28,2,0.07
8,32,4,0.17
8,35,1,0.02
8,36,1,0.02
8,38,1,0.04
8,43,2,0.07
9,10,1,0.01
9,11,4,0.1
9,12,1,0.02
9,13,3,0.08
9,16,3,0.14
9,28,2,0.13
9,29,1,0.0
9,30,1,0.05
9,31,1,0.04
9,32,1,0.05
9,34,1,0.08
9,35,3,0.08
9,36,2,0.05
9,38,4,0.1
9,39,4,0.21
9,40,1,0.07
9,41,1,0.04
9,42,1,0.08
9,43,7,0.15
10,11,1,0.02
10,12,1,0.03
10,14,2,0.06
10,15,1,0.04
10,16,1,0.06
10,19,5,0.1
10,20,2,0.05
10,22,1,0.06
10,23,1,0.09
10,28,2,0.08
10,29,3,0.12
10,30,1,0.02
10,32,1,0.02
10,35,1,0.02
10,36,1,0.03
10,38,1,0.01
11,12,2,0.08
11,13,2,0.07
11,14,1,0.0
11,16,3,0.09
11,21,1,0.06
11,25,1,0.02
11,29,1,0.04
11,30,2,0.11
11,32,8,0.24
11,34,2,0.09
11,35,3,0.03
11,36,3,0.13
11,37,2,0.09
11,38,6,0.13
11,40,1,0.07
11,43,6,0.09
12,13,1,0.07
12,14,2,0.08
12,16,1,0.08
12,18,1,0.07
12,19,4,0.08
12,22,1,0.08
12,33,1,0.06
12,38,1,0.01
13,16,2,0.19
13,18,1,0.1
13,28,2,0.17
13,35,2,0.11
13,36,2,0.11
13,38,3,0.1
13,43,2,0.17
14,15,2,0.11
14,18,2,0.09
14,19,5,0.08
14,20,2,0.06
14,22,4,0.22
14,24,1,0.07
14,26,1,0.05
14,27,1,0.03
14,28,2,0.08
14,33,1,0.05
14,37,1,0.09
15,19,2,0.02
15,20,2,0.07
15,22,1,0.04
15,33,7,0.22
16,19,1,0.06
16,28,1,0.14
16,35,2,0.07
16,36,2,0.07
16,38,2,0.05
16,43,2,0.12
17,18,1,0.09
17,19,3,0.08
17,20,2,0.1
17,21,1,0.18
18,19,18,0.21
18,20,1,0.03
18,22,1,0.03
18,23,3,0.22
18,24,1,0.05
18,25,1,0.07
19,20,9,0.09
19,21,4,0.08
19,22,7,0.07
19,23,3,0.1
19,24,1,0.02
19,25,1,0.03
19,26,1,0.03
19,30,1,0.01
19,31,2,0.02
19,32,1,0.05
19,33,4,0.09
19,35,2,0.05
19,36,2,0.04
19,38,1,0.0
20,21,1,0.07
20,22,7,0.13
20,26,2,0.08
20,28,3,0.13
20,29,2,0.06
20,33,2,0.11
20,42,1,0.09
21,22,2,0.2
21,32,1,0.04
22,23,1,0.08
22,26,2,0.15
22,27,1,0.09
22,28,3,0.09
22,33,1,0.03
24,25,1,0.17
27,26,1,0.14
27,33,1,0.07
28,26,1,0.1
28,29,1,0.09
29,30,5,0.17
29,31,4,0.16
29,32,5,0.15
29,35,5,0.06
29,36,5,0.14
29,37,1,0.08
29,38,3,0.06
29,39,2,0.08
29,41,5,0.18
29,42,4,0.16
30,31,6,0.26
30,32,9,0.25
30,41,2,0.11
30,42,1,0.08
31,32,6,0.27
31,33,1,0.06
31,34,1,0.04
31,35,4,0.11
31,36,2,0.06
31,38,1,0.04
31,39,1,0.05
31,41,2,0.08
31,42,1,0.09
31,43,1,0.04
32,25,1,0.09
32,35,2,0.04
32,36,2,0.07
32,41,2,0.11
32,42,1,0.11
34,35,9,0.22
34,36,8,0.19
34,37,1,0.13
34,38,6,0.19
34,43,6,0.13
35,36,22,0.26
35,37,1,0.08
35,38,15,0.21
35,43,12,0.15
36,37,1,0.08
36,38,13,0.2
36,39,1,0.03
36,41,1,0.06
36,42,1,0.04
36,43,10,0.15
38,39,4,0.12
38,40,4,0.18
38,41,3,0.05
38,42,1,0.09
38,43,17,0.27
39,40,3,0.36
39,41,4,0.15
39,42,3,0.21
39,43,1,0.01
41,40,2,0.23
41,42,4,0.25
42,40,1,0.1
43,40,1,0.06
