source,target,weight,infection_participation
Mance,Jon,69,0.28955
Mance,Craster,11,0.19202
Mance,Dalla,8,0.18834
Mance,Gilly,7,0.13305
Mance,Qhorin,10,0.17582
Mance,Rattleshirt,9,0.17359
Mance,Styr,7,0.18935
Mance,Val,8,0.18861
Mance,Ygritte,12,0.17868
Amory,Oberyn,5,0.23697
Oberyn,Gregor,24,0.4189
Oberyn,Joffrey,4,0.06025
Oberyn,Ellaria,6,0.26753
Oberyn,Mace,6,0.2687
Arya,Anguy,11,0.18611
Arya,Beric,23,0.19797
Arya,Bran,9,0.07678
Arya,Brynden,6,0.10551
Arya,Cersei,5,0.04151
Arya,Gendry,43,0.37533
Arya,Gregor,7,0.08645
Arya,Joffrey,6,0.04808
Arya,Jon,7,0.06134
Arya,Rickon,8,0.1158
Arya,Roose,5,0.11643
Arya,Sandor,46,0.30547
Arya,Thoros,18,0.17523
Arya,Eddard,18,0.18116
Arya,Robb,15,0.09621
Arya,Sansa,22,0.12623
Anguy,Beric,4,0.21418
Beric,Gendry,4,0.12341
Beric,Thoros,21,0.39856
Beric,Eddard,8,0.1949
Beric,Sandor,15,0.23228
Bran,Hodor,96,0.41648
Bran,Jojen,46,0.27681
Bran,Jon,12,0.08008
Bran,Luwin,4,0.06535
Bran,Meera,54,0.30161
Bran,Nan,14,0.19121
Bran,Rickon,35,0.31013
Bran,Theon,11,0.15292
Bran,Catelyn,4,0.046
Bran,Eddard,15,0.1868
Bran,Robb,23,0.1485
Bran,Sansa,10,0.07317
Brynden,Lothar,4,0.19981
Brynden,Walder,5,0.14869
Brynden,Catelyn,8,0.13961
Brynden,Edmure,7,0.18688
Brynden,Rickard,4,0.2588
Brynden,Robb,17,0.15828
Cersei,Catelyn,4,0.04286
Cersei,Brienne,5,0.06321
Cersei,Bronn,4,0.0741
Cersei,Elia,4,0.09293
Cersei,Gregor,6,0.06597
Cersei,Ilyn,7,0.12839
Cersei,Joffrey,23,0.14961
Cersei,Meryn,10,0.1579
Cersei,Pycelle,4,0.09126
Cersei,Sandor,6,0.06584
Cersei,Shae,4,0.08061
Cersei,Varys,4,0.07206
Cersei,Eddard,6,0.08411
Cersei,Lysa,4,0.05668
Cersei,Sansa,16,0.08558
Gendry,Thoros,7,0.22699
Gendry,Sandor,5,0.10715
Gregor,Bronn,5,0.15663
Gregor,Elia,9,0.2916
Gregor,Ilyn,7,0.21585
Gregor,Meryn,7,0.19247
Gregor,Sandor,12,0.19011
Gregor,Joffrey,5,0.05356
Joffrey,Ilyn,4,0.07272
Joffrey,Kevan,8,0.13138
Joffrey,Loras,7,0.09213
Joffrey,Margaery,28,0.25713
Joffrey,Meryn,5,0.08083
Joffrey,Myrcella,5,0.0993
Joffrey,Sandor,14,0.1367
Joffrey,Stannis,10,0.1181
Joffrey,Tommen,9,0.14743
Joffrey,Robb,10,0.07033
Joffrey,Sansa,35,0.15926
Jon,Eddard,8,0.10727
Jon,Craster,7,0.05856
Jon,Dalla,6,0.0685
Jon,Eddison,4,0.04805
Jon,Gilly,9,0.0773
Jon,Janos,8,0.08797
Jon,Meera,4,0.04095
Jon,Melisandre,7,0.09513
Jon,Orell,6,0.08824
Jon,Qhorin,31,0.22045
Jon,Rattleshirt,20,0.15989
Jon,Stannis,9,0.09454
Jon,Styr,16,0.16957
Jon,Theon,8,0.1247
Jon,Val,12,0.13113
Jon,Ygritte,54,0.31818
Jon,Robb,14,0.10047
Jon,Sansa,4,0.03019
Rickon,Eddard,8,0.20877
Rickon,Theon,8,0.28192
Rickon,Robb,15,0.15315
Rickon,Sansa,7,0.08076
Roose,Catelyn,4,0.12236
Roose,Robb,4,0.07014
Roose,Brienne,4,0.16828
Sandor,Eddard,5,0.09119
Sandor,Ilyn,4,0.12567
Sandor,Meryn,4,0.11021
Sandor,Thoros,10,0.18168
Sandor,Sansa,6,0.04745
Balon,Loras,4,0.21186
Balon,Robb,6,0.10232
Balon,Stannis,4,0.14416
Loras,Brienne,7,0.1769
Loras,Margaery,9,0.21781
Loras,Olenna,5,0.26215
Loras,Renly,8,0.2682
Loras,Sansa,14,0.12002
Belwas,Barristan,18,0.29739
Belwas,Illyrio,10,0.28508
Belwas,Daenerys,26,0.18898
Belwas,Jorah,13,0.18538
Barristan,Daenerys,20,0.1839
Barristan,Jorah,11,0.18052
Barristan,Rhaegar,5,0.18879
Hodor,Jojen,35,0.27335
Hodor,Meera,41,0.28489
Hodor,Robb,5,0.05286
Jojen,Meera,33,0.29548
Luwin,Nan,4,0.16053
Theon,Robb,11,0.15032
Brienne,Catelyn,7,0.10505
Brienne,Robb,6,0.06098
Brienne,Sansa,5,0.04367
Bronn,Podrick,19,0.41049
Podrick,Margaery,4,0.1446
Podrick,Sansa,8,0.08951
Lothar,Edmure,4,0.11794
Lothar,Roslin,4,0.23313
Lothar,Robb,10,0.1093
Lothar,Walder,12,0.31168
Walder,Catelyn,19,0.22752
Walder,Edmure,9,0.16367
Walder,Robb,26,0.19509
Walder,Petyr,6,0.17041
Walder,Roslin,6,0.1853
Catelyn,Edmure,16,0.18074
Catelyn,Hoster,9,0.18955
Catelyn,Jeyne,10,0.22567
Catelyn,Lysa,8,0.12191
Catelyn,Petyr,5,0.0867
Catelyn,Robb,43,0.22473
Catelyn,Roslin,6,0.11358
Catelyn,Sansa,8,0.05681
Catelyn,Stannis,4,0.06741
Catelyn,Eddard,5,0.08398
Edmure,Roslin,16,0.35342
Edmure,Hoster,9,0.30003
Edmure,Robb,32,0.22751
Hoster,Lysa,6,0.23313
Jeyne,Robb,18,0.21906
Lysa,Jon Arryn,5,0.22835
Lysa,Marillion,10,0.27819
Lysa,Petyr,29,0.4278
Lysa,Robert Arryn,9,0.26312
Lysa,Sansa,28,0.19362
Petyr,Robb,5,0.05668
Petyr,Sansa,28,0.20992
Robb,Eddard,13,0.1267
Robb,Ramsay,4,0.07656
Robb,Rickard,7,0.10782
Robb,Sansa,15,0.07741
Robb,Stannis,4,0.04445
Sansa,Eddard,6,0.05665
Sansa,Kevan,5,0.0643
Sansa,Margaery,36,0.23999
Sansa,Marillion,9,0.10843
Sansa,Myrcella,4,0.06135
Sansa,Olenna,7,0.0997
Sansa,Renly,4,0.04601
Sansa,Robert Arryn,6,0.07632
Sansa,Shae,8,0.10085
Stannis,Davos,32,0.41339
Stannis,Melisandre,20,0.31361
Stannis,Renly,15,0.32056
Elia,Rhaegar,7,0.35658
Ilyn,Meryn,5,0.27207
Pycelle,Varys,4,0.25712
Shae,Chataya,4,0.24314
Shae,Varys,8,0.34231
Varys,Kevan,5,0.25056
Varys,Renly,4,0.21098
Craster,Karl,6,0.25376
Craster,Gilly,17,0.33723
Daario,Drogo,4,0.15249
Daario,Irri,5,0.18789
Daario,Daenerys,14,0.14072
Daario,Jorah,7,0.16153
Drogo,Daenerys,18,0.1662
Drogo,Irri,7,0.21879
Drogo,Jorah,6,0.13734
Irri,Daenerys,17,0.15947
Irri,Missandei,4,0.18254
Daenerys,Aegon,8,0.13578
Daenerys,Jorah,47,0.24304
Daenerys,Kraznys,10,0.15881
Daenerys,Missandei,26,0.25753
Daenerys,Rakharo,7,0.124
Daenerys,Rhaegar,12,0.20249
Daenerys,Viserys,8,0.13683
Daenerys,Worm,14,0.20097
Jorah,Rhaegar,5,0.16292
Rhaegar,Viserys,7,0.3161
Davos,Cressen,4,0.17142
Davos,Salladhor,16,0.36851
Davos,Melisandre,30,0.38994
Davos,Shireen,5,0.20077
Renly,Margaery,7,0.21379
Tommen,Myrcella,5,0.30654
Tommen,Margaery,5,0.20464
Janos,Bowen,5,0.26629
Kevan,Lancel,7,0.31922
Dalla,Val,7,0.30597
Qhorin,Rattleshirt,6,0.21803
Qhorin,Ygritte,7,0.18719
Rattleshirt,Ygritte,9,0.24713
Marillion,Robert Arryn,4,0.26472
