source,target,weight,infection_participation
Tywin,Balon,5,0.08
Tywin,Brynden,4,0.07
Tywin,Cersei,16,0.15
Tywin,Gregor,7,0.09
Tywin,Joffrey,13,0.11
Tywin,Kevan,14,0.24
Tywin,Mace,5,0.14
Tywin,Oberyn,6,0.07
Tywin,Petyr,4,0.06
Tywin,Podrick,5,0.13
Tywin,Pycelle,5,0.19
Tywin,Stannis,15,0.16
Tywin,Tommen,4,0.1
Tywin,Val,4,0.1
Tywin,Varys,6,0.1
Tywin,Walder,4,0.04
Alliser,Mance,5,0.09
Alliser,Janos,9,0.36
Alliser,Jon,15,0.14
Mance,Janos,4,0.1
Mance,Jon,69,0.27
Mance,Craster,11,0.18
Mance,Dalla,8,0.14
Mance,Gilly,7,0.15
Mance,Qhorin,10,0.17
Mance,Rattleshirt,9,0.18
Mance,Styr,7,0.19
Mance,Val,8,0.18
Mance,Ygritte,12,0.14
Amory,Oberyn,5,0.23
Oberyn,Gregor,24,0.42
Oberyn,Joffrey,4,0.04
Oberyn,Ellaria,6,0.32
Oberyn,Mace,6,0.27
Arya,Anguy,11,0.15
Arya,Beric,23,0.18
Arya,Bran,9,0.11
Arya,Brynden,6,0.12
Arya,Cersei,5,0.07
Arya,Gendry,43,0.38
Arya,Gregor,7,0.07
Arya,Joffrey,6,0.02
Arya,Jon,7,0.09
Arya,Rickon,8,0.07
Arya,Roose,5,0.1
Arya,Sandor,46,0.29
Arya,Thoros,18,0.18
Arya,Eddard,18,0.13
Arya,Robb,15,0.1
Arya,Sansa,22,0.09
Anguy,Beric,4,0.22
Beric,Gendry,4,0.16
Beric,Thoros,21,0.44
Beric,Eddard,8,0.2
Beric,Sandor,15,0.17
Bran,Hodor,96,0.38
Bran,Jojen,46,0.22
Bran,Jon,12,0.1
Bran,Luwin,4,0.07
Bran,Meera,54,0.24
Bran,Nan,14,0.22
Bran,Rickon,35,0.33
Bran,Theon,11,0.15
Bran,Catelyn,4,0.04
Bran,Eddard,15,0.2
Bran,Robb,23,0.13
Bran,Sansa,10,0.05
Brynden,Lothar,4,0.21
Brynden,Walder,5,0.13
Brynden,Catelyn,8,0.12
Brynden,Edmure,7,0.23
Brynden,Rickard,4,0.26
Brynden,Robb,17,0.12
Cersei,Catelyn,4,0.02
Cersei,Brienne,5,0.09
Cersei,Bronn,4,0.11
Cersei,Elia,4,0.11
Cersei,Gregor,6,0.06
Cersei,Ilyn,7,0.14
Cersei,Joffrey,23,0.11
Cersei,Meryn,10,0.07
Cersei,Pycelle,4,0.12
Cersei,Sandor,6,0.08
Cersei,Shae,4,0.09
Cersei,Varys,4,0.07
Cersei,Eddard,6,0.11
Cersei,Lysa,4,0.07
Cersei,Sansa,16,0.12
Gendry,Thoros,7,0.21
Gendry,Sandor,5,0.1
Gregor,Bronn,5,0.18
Gregor,Elia,9,0.3
Gregor,Ilyn,7,0.22
Gregor,Meryn,7,0.22
Gregor,Sandor,12,0.21
Gregor,Joffrey,5,0.07
Joffrey,Ilyn,4,0.07
Joffrey,Kevan,8,0.1
Joffrey,Loras,7,0.1
Joffrey,Margaery,28,0.31
Joffrey,Meryn,5,0.1
Joffrey,Myrcella,5,0.07
Joffrey,Sandor,14,0.12
Joffrey,Stannis,10,0.13
Joffrey,Tommen,9,0.13
Joffrey,Robb,10,0.08
Joffrey,Sansa,35,0.16
Jon,Eddard,8,0.05
Jon,Craster,7,0.05
Jon,Dalla,6,0.01
Jon,Eddison,4,0.09
Jon,Gilly,9,0.05
Jon,Janos,8,0.11
Jon,Meera,4,0.02
Jon,Melisandre,7,0.1
Jon,Orell,6,0.05
Jon,Qhorin,31,0.26
Jon,Rattleshirt,20,0.2
Jon,Stannis,9,0.05
Jon,Styr,16,0.11
Jon,Theon,8,0.12
Jon,Val,12,0.16
Jon,Ygritte,54,0.32
Jon,Robb,14,0.08
Jon,Sansa,4,0.01
Rickon,Eddard,8,0.22
Rickon,Theon,8,0.29
Rickon,Robb,15,0.14
Rickon,Sansa,7,0.06
Roose,Catelyn,4,0.12
Roose,Robb,4,0.06
Roose,Brienne,4,0.14
Sandor,Eddard,5,0.09
Sandor,Ilyn,4,0.14
Sandor,Meryn,4,0.06
Sandor,Thoros,10,0.22
Sandor,Sansa,6,0.01
Balon,Loras,4,0.14
Balon,Robb,6,0.1
Balon,Stannis,4,0.15
Loras,Brienne,7,0.25
Loras,Margaery,9,0.29
Loras,Olenna,5,0.2
Loras,Renly,8,0.19
Loras,Sansa,14,0.13
Belwas,Barristan,18,0.32
Belwas,Illyrio,10,0.31
Belwas,Daenerys,26,0.26
Belwas,Jorah,13,0.26
Barristan,Daenerys,20,0.27
Barristan,Jorah,11,0.15
Barristan,Rhaegar,5,0.27
Hodor,Jojen,35,0.31
Hodor,Meera,41,0.24
Hodor,Robb,5,0.02
Jojen,Meera,33,0.28
Luwin,Nan,4,0.18
Theon,Robb,11,0.15
Brienne,Catelyn,7,0.14
Brienne,Robb,6,0.12
Brienne,Sansa,5,0.01
Bronn,Podrick,19,0.47
Podrick,Margaery,4,0.12
Podrick,Sansa,8,0.1
Lothar,Edmure,4,0.17
Lothar,Roslin,4,0.26
Lothar,Robb,10,0.14
Lothar,Walder,12,0.33
Walder,Catelyn,19,0.21
Walder,Edmure,9,0.13
Walder,Robb,26,0.2
Walder,Petyr,6,0.15
Walder,Roslin,6,0.17
Catelyn,Edmure,16,0.23
Catelyn,Hoster,9,0.1
Catelyn,Jeyne,10,0.19
Catelyn,Lysa,8,0.09
Catelyn,Petyr,5,0.03
Catelyn,Robb,43,0.17
Catelyn,Roslin,6,0.1
Catelyn,Sansa,8,0.07
Catelyn,Stannis,4,0.08
Catelyn,Eddard,5,0.13
Edmure,Roslin,16,0.34
Edmure,Hoster,9,0.33
Edmure,Robb,32,0.14
Hoster,Lysa,6,0.23
Jeyne,Robb,18,0.22
Lysa,Jon Arryn,5,0.21
Lysa,Marillion,10,0.24
Lysa,Petyr,29,0.38
Lysa,Robert Arryn,9,0.27
Lysa,Sansa,28,0.19
Petyr,Robb,5,0.03
Petyr,Sansa,28,0.24
Robb,Eddard,13,0.14
Robb,Ramsay,4,0.06
Robb,Rickard,7,0.09
Robb,Sansa,15,0.1
Robb,Stannis,4,0.08
Sansa,Eddard,6,0.08
Sansa,Kevan,5,0.06
Sansa,Margaery,36,0.31
Sansa,Marillion,9,0.1
Sansa,Myrcella,4,0.07
Sansa,Olenna,7,0.07
Sansa,Renly,4,0.01
Sansa,Robert Arryn,6,0.04
Sansa,Shae,8,0.08
Stannis,Davos,32,0.41
Stannis,Melisandre,20,0.27
Stannis,Renly,15,0.24
Elia,Rhaegar,7,0.41
Ilyn,Meryn,5,0.32
Pycelle,Varys,4,0.17
Shae,Chataya,4,0.21
Shae,Varys,8,0.34
Varys,Kevan,5,0.21
Varys,Renly,4,0.18
Craster,Karl,6,0.18
Craster,Gilly,17,0.27
Daario,Drogo,4,0.1
Daario,Irri,5,0.27
Daario,Daenerys,14,0.22
Daario,Jorah,7,0.16
Drogo,Daenerys,18,0.16
Drogo,Irri,7,0.24
Drogo,Jorah,6,0.11
Irri,Daenerys,17,0.15
Irri,Missandei,4,0.21
Daenerys,Aegon,8,0.12
Daenerys,Jorah,47,0.29
Daenerys,Kraznys,10,0.22
Daenerys,Missandei,26,0.29
Daenerys,Rakharo,7,0.1
Daenerys,Rhaegar,12,0.15
Daenerys,Viserys,8,0.19
Daenerys,Worm,14,0.28
Jorah,Rhaegar,5,0.19
Rhaegar,Viserys,7,0.32
Davos,Cressen,4,0.16
Davos,Salladhor,16,0.39
Davos,Melisandre,30,0.36
Davos,Shireen,5,0.24
Renly,Margaery,7,0.19
Tommen,Myrcella,5,0.24
Tommen,Margaery,5,0.16
Janos,Bowen,5,0.22
Kevan,Lancel,7,0.29
Dalla,Val,7,0.3
Qhorin,Rattleshirt,6,0.24
Qhorin,Ygritte,7,0.16
Rattleshirt,Ygritte,9,0.19
Marillion,Robert Arryn,4,0.21
