source,target,ultrametric_distance,is_ultrametric,weight
Listolier,Fantine,1.7999999999999998,False,2.0526315789473686
Tholomyes,Fameuil,2.55,False,2.5999999999999996
Tholomyes,Blacheville,2.55,False,2.6500000000000004
Tholomyes,Favourite,2.55,False,2.8947368421052633
Tholomyes,Dahlia,2.55,False,3.2941176470588234
Tholomyes,Zephine,2.55,False,3.333333333333333
Tholomyes,Fantine,2.55,False,4.315789473684211
Tholomyes,Cosette,6.583333333333333,False,112.0
Tholomyes,Marius,6.583333333333333,False,181.0
Fameuil,Blacheville,0.4285714285714286,True,0.4285714285714286
Fameuil,Favourite,0.55,True,0.55
Fameuil,Dahlia,0.7222222222222221,False,0.8235294117647061
Fameuil,Zephine,0.75,False,0.8421052631578949
Fameuil,Fantine,1.7999999999999998,False,2.3333333333333335
Blacheville,Favourite,0.55,False,0.7368421052631577
Blacheville,Dahlia,0.7222222222222221,True,0.7222222222222221
Blacheville,Zephine,0.75,True,0.75
Blacheville,Fantine,1.7999999999999998,False,2.1578947368421053
Favourite,Dahlia,0.7222222222222221,True,0.7222222222222221
Favourite,Zephine,0.75,True,0.75
Favourite,Fantine,1.7999999999999998,False,2.1578947368421053
Dahlia,Zephine,0.75,False,0.8888888888888888
Dahlia,Fantine,1.7999999999999998,True,1.7999999999999998
Zephine,Fantine,1.7999999999999998,False,2.5555555555555554
Fantine,MmeThenardier,6.583333333333333,False,10.0
Fantine,Thenardier,6.583333333333333,False,7.181818181818182
Fantine,Javert,6.583333333333333,True,6.583333333333333
Fantine,Bamatabois,8.857142857142856,False,20.666666666666664
Fantine,Perpetue,53.0,True,53.0
Fantine,Simplice,9.6,False,10.2
MmeThenardier,Thenardier,4.066666666666666,True,4.066666666666666
MmeThenardier,Cosette,5.928571428571429,False,20.5
MmeThenardier,Javert,4.066666666666666,False,5.75
MmeThenardier,Eponine,5.0,False,8.875
MmeThenardier,Anzelma,10.25,False,14.0
MmeThenardier,Magnon,inf,True,inf
MmeThenardier,Gueulemer,4.066666666666666,False,6.142857142857142
MmeThenardier,Babet,4.066666666666666,False,6.0
MmeThenardier,Claquesous,4.066666666666666,False,4.199999999999999
Thenardier,Cosette,5.928571428571429,False,11.571428571428571
Thenardier,Javert,1.7692307692307692,True,1.7692307692307692
Thenardier,Pontmercy,69.0,True,69.0
Thenardier,Boulatruelle,inf,True,inf
Thenardier,Eponine,5.0,False,5.666666666666667
Thenardier,Anzelma,10.25,False,15.666666666666668
Thenardier,Gavroche,5.928571428571429,False,11.200000000000001
Thenardier,Marius,5.928571428571429,False,11.666666666666668
Thenardier,Gueulemer,1.4499999999999997,False,2.769230769230769
Thenardier,Babet,1.4499999999999997,True,1.4499999999999997
Thenardier,Claquesous,1.4499999999999997,False,2.7857142857142856
Thenardier,Montparnasse,1.4499999999999997,False,4.666666666666666
Thenardier,Brujon,1.4499999999999997,False,5.625
Cosette,Javert,5.928571428571429,False,10.125
Cosette,Woman2,11.0,True,11.0
Cosette,Gillenormand,6.428571428571429,True,6.428571428571429
Cosette,MlleGillenormand,6.428571428571429,False,6.5
Cosette,LtGillenormand,6.428571428571429,False,16.333333333333332
Cosette,Marius,5.086956521739131,True,5.086956521739131
Cosette,Toussaint,15.0,True,15.0
Javert,Fauchelevent,5.75,True,5.75
Javert,Bamatabois,8.857142857142856,False,30.5
Javert,Simplice,9.6,True,9.6
Javert,Woman1,24.5,True,24.5
Javert,Woman2,11.0,False,11.75
Javert,Gavroche,5.928571428571429,False,9.166666666666666
Javert,Enjolras,5.928571428571429,False,10.222222222222223
Javert,Gueulemer,1.7692307692307692,False,3.8181818181818183
Javert,Babet,1.7692307692307692,False,2.4375
Javert,Claquesous,1.7692307692307692,False,3.3076923076923075
Javert,Montparnasse,1.7692307692307692,False,8.333333333333334
Javert,Toussaint,15.0,False,16.0
Fauchelevent,MotherInnocent,3.333333333333333,True,3.333333333333333
Fauchelevent,Gribier,inf,True,inf
Bamatabois,Judge,1.1111111111111112,True,1.1111111111111112
Bamatabois,Champmathieu,1.1111111111111112,False,1.5
Bamatabois,Brevet,1.1111111111111112,False,1.5714285714285712
Bamatabois,Chenildieu,1.1111111111111112,False,1.5714285714285712
Bamatabois,Cochepaille,1.1111111111111112,False,1.25
Perpetue,Simplice,53.0,False,inf
Judge,Champmathieu,0.6000000000000001,True,0.6000000000000001
Judge,Brevet,0.6000000000000001,False,0.875
Judge,Chenildieu,0.6000000000000001,False,0.875
Judge,Cochepaille,0.6000000000000001,False,0.6666666666666667
Champmathieu,Brevet,0.5555555555555554,True,0.5555555555555554
Champmathieu,Chenildieu,0.5555555555555554,False,0.875
Champmathieu,Cochepaille,0.5555555555555554,False,1.0
Brevet,Chenildieu,0.5,True,0.5
Brevet,Cochepaille,0.5,False,0.625
Chenildieu,Cochepaille,0.33333333333333326,True,0.33333333333333326
Pontmercy,MmePontmercy,inf,True,inf
Pontmercy,Marius,69.0,False,137.0
Eponine,Anzelma,10.25,True,10.25
Eponine,Marius,5.928571428571429,False,12.545454545454545
Eponine,Mabeuf,5.928571428571429,False,8.25
Eponine,Courfeyrac,5.928571428571429,True,5.928571428571429
Eponine,Gueulemer,5.0,False,7.666666666666666
Eponine,Babet,5.0,False,7.285714285714285
Eponine,Claquesous,5.0,True,5.0
Eponine,Montparnasse,5.0,False,7.333333333333334
Eponine,Brujon,5.0,False,6.142857142857142
MmeBurgon,Jondrette,inf,True,inf
MmeBurgon,Gavroche,inf,True,inf
Gavroche,Marius,3.0,True,3.0
Gavroche,Mabeuf,1.8125,True,1.8125
Gavroche,Enjolras,1.8125,False,2.3636363636363633
Gavroche,Combeferre,1.8125,False,3.7391304347826084
Gavroche,Prouvaire,1.8125,False,2.4
Gavroche,Feuilly,1.8125,False,2.407407407407407
Gavroche,Courfeyrac,1.8125,False,6.88235294117647
Gavroche,Bahorel,1.8125,False,5.25
Gavroche,Bossuet,1.8125,False,3.7200000000000006
Gavroche,Joly,1.8125,False,3.04
Gavroche,Grantaire,1.8125,False,6.333333333333334
Gavroche,Gueulemer,5.928571428571429,False,12.0
Gavroche,Babet,5.928571428571429,False,13.0
Gavroche,Montparnasse,5.928571428571429,False,14.0
Gavroche,Child1,42.5,True,42.5
Gavroche,Child2,42.5,True,42.5
Gavroche,Brujon,5.928571428571429,False,22.249999999999996
Gavroche,MmeHucheloup,1.833333333333333,False,13.166666666666666
Gillenormand,Magnon,inf,True,inf
Gillenormand,MlleGillenormand,2.125,True,2.125
Gillenormand,LtGillenormand,2.0,True,2.0
Gillenormand,Marius,6.428571428571429,False,14.0
Gillenormand,BaronessT,12.0,True,12.0
MlleGillenormand,MmePontmercy,inf,True,inf
MlleGillenormand,MlleVaubois,inf,True,inf
MlleGillenormand,LtGillenormand,2.125,False,2.142857142857143
MlleGillenormand,Marius,6.428571428571429,False,11.7
LtGillenormand,Marius,6.428571428571429,False,39.333333333333336
Marius,BaronessT,12.0,False,115.99999999999999
Marius,Mabeuf,3.0,False,3.3103448275862064
Marius,Enjolras,3.0,False,4.068965517241379
Marius,Combeferre,3.0,False,6.63157894736842
Marius,Feuilly,3.0,False,7.4375
Marius,Courfeyrac,3.0,False,5.9565217391304355
Marius,Bahorel,3.0,False,10.333333333333332
Marius,Bossuet,3.0,False,5.608695652173913
Marius,Joly,3.0,False,6.777777777777779
Mabeuf,Enjolras,1.8095238095238098,False,3.764705882352941
Mabeuf,Combeferre,1.8095238095238098,False,3.0588235294117645
Mabeuf,Feuilly,1.8095238095238098,False,2.0555555555555554
Mabeuf,Courfeyrac,1.8095238095238098,False,6.0769230769230775
Mabeuf,Bahorel,1.8095238095238098,False,3.384615384615385
Mabeuf,Bossuet,1.8095238095238098,False,3.3888888888888893
Mabeuf,Joly,1.8095238095238098,True,1.8095238095238098
Mabeuf,MotherPlutarch,inf,True,inf
Enjolras,Combeferre,1.7241379310344827,True,1.7241379310344827
Enjolras,Prouvaire,1.7241379310344827,False,3.0588235294117645
Enjolras,Feuilly,1.7241379310344827,False,1.9583333333333335
Enjolras,Courfeyrac,1.7241379310344827,False,2.535714285714286
Enjolras,Bahorel,1.7241379310344827,False,2.181818181818182
Enjolras,Bossuet,1.7241379310344827,False,1.8387096774193545
Enjolras,Joly,1.7241379310344827,False,2.25
Enjolras,Grantaire,1.7241379310344827,False,3.8461538461538467
Enjolras,Claquesous,5.928571428571429,False,13.799999999999999
Enjolras,MmeHucheloup,1.833333333333333,False,9.166666666666666
Combeferre,Prouvaire,1.5882352941176472,False,2.625
Combeferre,Feuilly,1.2083333333333335,False,1.458333333333333
Combeferre,Courfeyrac,0.9487179487179485,True,0.9487179487179485
Combeferre,Bahorel,1.2000000000000002,True,1.2000000000000002
Combeferre,Bossuet,1.25,False,1.4516129032258065
Combeferre,Joly,1.2000000000000002,False,1.9130434782608696
Combeferre,Grantaire,1.4285714285714288,False,3.333333333333333
Prouvaire,Feuilly,1.5882352941176472,True,1.5882352941176472
Prouvaire,Courfeyrac,1.5882352941176472,False,5.153846153846153
Prouvaire,Bahorel,1.5882352941176472,False,3.8
Prouvaire,Bossuet,1.5882352941176472,False,4.538461538461538
Prouvaire,Joly,1.5882352941176472,False,2.0
Prouvaire,Grantaire,1.5882352941176472,False,2.2
Feuilly,Courfeyrac,1.2083333333333335,False,3.3684210526315788
Feuilly,Bahorel,1.2083333333333335,False,1.941176470588235
Feuilly,Bossuet,1.25,False,2.4761904761904763
Feuilly,Joly,1.2083333333333335,True,1.2083333333333335
Feuilly,Grantaire,1.4285714285714288,False,2.6363636363636362
Courfeyrac,Bahorel,1.2000000000000002,False,1.535714285714286
Courfeyrac,Bossuet,1.25,False,1.7058823529411766
Courfeyrac,Joly,1.2000000000000002,False,1.7586206896551726
Courfeyrac,Grantaire,1.4285714285714288,False,3.928571428571428
Courfeyrac,MmeHucheloup,1.833333333333333,False,10.333333333333332
Bahorel,Bossuet,1.25,True,1.25
Bahorel,Joly,0.6428571428571428,True,0.6428571428571428
Bahorel,Grantaire,1.4285714285714288,True,1.4285714285714288
Bahorel,MmeHucheloup,1.833333333333333,False,4.5
Bossuet,Joly,1.25,False,1.2580645161290325
Bossuet,Grantaire,1.4285714285714288,False,3.0
Bossuet,MmeHucheloup,1.833333333333333,False,9.0
Joly,Grantaire,1.4285714285714288,False,1.8666666666666667
Joly,MmeHucheloup,1.833333333333333,False,6.166666666666667
Grantaire,MmeHucheloup,1.833333333333333,True,1.833333333333333
Gueulemer,Babet,0.6923076923076923,True,0.6923076923076923
Gueulemer,Claquesous,0.8571428571428572,False,1.0
Gueulemer,Montparnasse,1.25,True,1.25
Gueulemer,Brujon,1.25,False,2.5
Babet,Claquesous,0.8571428571428572,True,0.8571428571428572
Babet,Montparnasse,1.25,False,1.6666666666666665
Babet,Brujon,1.25,False,2.857142857142857
Claquesous,Montparnasse,1.25,False,1.875
Claquesous,Brujon,1.25,False,2.571428571428571
Montparnasse,Brujon,1.125,True,1.125
Child1,Child2,42.5,False,inf
