source,target,metric_distance,weight,is_metric
Valjean,Claquesous,7.824999999999999,12.181818181818182,False
Valjean,Montparnasse,9.296474358974358,16.625,False
Valjean,Toussaint,21.192307692307693,68.5,False
Marguerite,Fantine,55.0,55.0,True
Listolier,Tholomyes,2.55,2.55,True
Listolier,Fameuil,0.44999999999999996,0.44999999999999996,True
Listolier,Blacheville,0.5,0.5,True
Listolier,Favourite,0.631578947368421,0.631578947368421,True
Listolier,Dahlia,0.7647058823529411,0.7647058823529411,True
Listolier,Zephine,0.9444444444444446,0.9444444444444446,True
Listolier,Fantine,2.0526315789473686,2.0526315789473686,True
Tholomyes,Fameuil,2.5999999999999996,2.5999999999999996,True
Tholomyes,Blacheville,2.6500000000000004,2.6500000000000004,True
Tholomyes,Favourite,2.8947368421052633,2.8947368421052633,True
Tholomyes,Dahlia,3.2941176470588234,3.2941176470588234,True
Tholomyes,Zephine,3.333333333333333,3.333333333333333,True
Tholomyes,Fantine,4.315789473684211,4.315789473684211,True
Tholomyes,Cosette,21.02412280701754,112.0,False
Tholomyes,Marius,23.065789473684212,181.0,False
Fameuil,Blacheville,0.4285714285714286,0.4285714285714286,True
Fameuil,Favourite,0.55,0.55,True
Fameuil,Dahlia,0.8235294117647061,0.8235294117647061,True
Fameuil,Zephine,0.8421052631578949,0.8421052631578949,True
Fameuil,Fantine,2.3333333333333335,2.3333333333333335,True
Blacheville,Favourite,0.7368421052631577,0.7368421052631577,True
Blacheville,Dahlia,0.7222222222222221,0.7222222222222221,True
Blacheville,Zephine,0.75,0.75,True
Blacheville,Fantine,2.1578947368421053,2.1578947368421053,True
Favourite,Dahlia,0.7222222222222221,0.7222222222222221,True
Favourite,Zephine,0.75,0.75,True
Favourite,Fantine,2.1578947368421053,2.1578947368421053,True
Dahlia,Zephine,0.8888888888888888,0.8888888888888888,True
Dahlia,Fantine,1.7999999999999998,1.7999999999999998,True
Zephine,Fantine,2.5555555555555554,2.5555555555555554,True
Fantine,MmeThenardier,10.0,10.0,True
Fantine,Thenardier,7.181818181818182,7.181818181818182,True
Fantine,Javert,6.583333333333333,6.583333333333333,True
Fantine,Bamatabois,20.63278388278388,20.666666666666664,False
Fantine,Perpetue,53.0,53.0,True
Fantine,Simplice,10.2,10.2,True
MmeThenardier,Thenardier,4.066666666666666,4.066666666666666,True
MmeThenardier,Cosette,15.638095238095238,20.5,False
MmeThenardier,Javert,5.75,5.75,True
MmeThenardier,Eponine,8.875,8.875,True
MmeThenardier,Anzelma,14.0,14.0,True
MmeThenardier,Magnon,inf,inf,True
MmeThenardier,Gueulemer,5.199999999999999,6.142857142857142,False
MmeThenardier,Babet,5.057142857142857,6.0,False
MmeThenardier,Claquesous,4.199999999999999,4.199999999999999,True
Thenardier,Cosette,11.571428571428571,11.571428571428571,True
Thenardier,Javert,1.7692307692307692,1.7692307692307692,True
Thenardier,Pontmercy,69.0,69.0,True
Thenardier,Boulatruelle,inf,inf,True
Thenardier,Eponine,5.666666666666667,5.666666666666667,True
Thenardier,Anzelma,15.666666666666668,15.666666666666668,True
Thenardier,Gavroche,10.935897435897434,11.200000000000001,False
Thenardier,Marius,11.666666666666668,11.666666666666668,True
Thenardier,Gueulemer,2.142307692307692,2.769230769230769,False
Thenardier,Babet,1.4499999999999997,1.4499999999999997,True
Thenardier,Claquesous,2.307142857142857,2.7857142857142856,False
Thenardier,Montparnasse,3.1166666666666663,4.666666666666666,False
Thenardier,Brujon,4.241666666666666,5.625,False
Cosette,Javert,10.125,10.125,True
Cosette,Woman2,11.0,11.0,True
Cosette,Gillenormand,6.428571428571429,6.428571428571429,True
Cosette,MlleGillenormand,6.5,6.5,True
Cosette,LtGillenormand,8.428571428571429,16.333333333333332,False
Cosette,Marius,5.086956521739131,5.086956521739131,True
Cosette,Toussaint,15.0,15.0,True
Javert,Fauchelevent,5.75,5.75,True
Javert,Bamatabois,14.049450549450547,30.5,False
Javert,Simplice,9.6,9.6,True
Javert,Woman1,24.5,24.5,True
Javert,Woman2,11.75,11.75,True
Javert,Gavroche,9.166666666666666,9.166666666666666,True
Javert,Enjolras,10.222222222222223,10.222222222222223,True
Javert,Gueulemer,3.1298076923076925,3.8181818181818183,False
Javert,Babet,2.4375,2.4375,True
Javert,Claquesous,3.294642857142857,3.3076923076923075,False
Javert,Montparnasse,4.104166666666666,8.333333333333334,False
Javert,Toussaint,16.0,16.0,True
Fauchelevent,MotherInnocent,3.333333333333333,3.333333333333333,True
Fauchelevent,Gribier,inf,inf,True
Bamatabois,Judge,1.1111111111111112,1.1111111111111112,True
Bamatabois,Champmathieu,1.5,1.5,True
Bamatabois,Brevet,1.5714285714285712,1.5714285714285712,True
Bamatabois,Chenildieu,1.5714285714285712,1.5714285714285712,True
Bamatabois,Cochepaille,1.25,1.25,True
Perpetue,Simplice,63.2,inf,False
Judge,Champmathieu,0.6000000000000001,0.6000000000000001,True
Judge,Brevet,0.875,0.875,True
Judge,Chenildieu,0.875,0.875,True
Judge,Cochepaille,0.6666666666666667,0.6666666666666667,True
Champmathieu,Brevet,0.5555555555555554,0.5555555555555554,True
Champmathieu,Chenildieu,0.875,0.875,True
Champmathieu,Cochepaille,1.0,1.0,True
Brevet,Chenildieu,0.5,0.5,True
Brevet,Cochepaille,0.625,0.625,True
Chenildieu,Cochepaille,0.33333333333333326,0.33333333333333326,True
Pontmercy,MmePontmercy,inf,inf,True
Pontmercy,Marius,80.66666666666667,137.0,False
Eponine,Anzelma,10.25,10.25,True
Eponine,Marius,11.560344827586206,12.545454545454545,False
Eponine,Mabeuf,8.25,8.25,True
Eponine,Courfeyrac,5.928571428571429,5.928571428571429,True
Eponine,Gueulemer,6.0,7.666666666666666,False
Eponine,Babet,5.857142857142858,7.285714285714285,False
Eponine,Claquesous,5.0,5.0,True
Eponine,Montparnasse,6.875,7.333333333333334,False
Eponine,Brujon,6.142857142857142,6.142857142857142,True
MmeBurgon,Jondrette,inf,inf,True
MmeBurgon,Gavroche,inf,inf,True
Gavroche,Marius,3.0,3.0,True
Gavroche,Mabeuf,1.8125,1.8125,True
Gavroche,Enjolras,2.3636363636363633,2.3636363636363633,True
Gavroche,Combeferre,3.7391304347826084,3.7391304347826084,True
Gavroche,Prouvaire,2.4,2.4,True
Gavroche,Feuilly,2.407407407407407,2.407407407407407,True
Gavroche,Courfeyrac,4.687848383500556,6.88235294117647,False
Gavroche,Bahorel,3.682857142857143,5.25,False
Gavroche,Bossuet,3.7200000000000006,3.7200000000000006,True
Gavroche,Joly,3.04,3.04,True
Gavroche,Grantaire,4.6,6.333333333333334,False
Gavroche,Gueulemer,12.0,12.0,True
Gavroche,Babet,11.604166666666666,13.0,False
Gavroche,Montparnasse,13.25,14.0,False
Gavroche,Child1,42.5,42.5,True
Gavroche,Child2,42.5,42.5,True
Gavroche,Brujon,14.375,22.249999999999996,False
Gavroche,MmeHucheloup,6.433333333333334,13.166666666666666,False
Gillenormand,Magnon,inf,inf,True
Gillenormand,MlleGillenormand,2.125,2.125,True
Gillenormand,LtGillenormand,2.0,2.0,True
Gillenormand,Marius,11.51552795031056,14.0,False
Gillenormand,BaronessT,12.0,12.0,True
MlleGillenormand,MmePontmercy,inf,inf,True
MlleGillenormand,MlleVaubois,inf,inf,True
MlleGillenormand,LtGillenormand,2.142857142857143,2.142857142857143,True
MlleGillenormand,Marius,11.58695652173913,11.7,False
LtGillenormand,Marius,13.51552795031056,39.333333333333336,False
Marius,BaronessT,23.515527950310563,115.99999999999999,False
Marius,Mabeuf,3.3103448275862064,3.3103448275862064,True
Marius,Enjolras,4.068965517241379,4.068965517241379,True
Marius,Combeferre,5.793103448275861,6.63157894736842,False
Marius,Feuilly,5.365900383141762,7.4375,False
Marius,Courfeyrac,5.9565217391304355,5.9565217391304355,True
Marius,Bahorel,5.762725779967159,10.333333333333332,False
Marius,Bossuet,5.608695652173913,5.608695652173913,True
Marius,Joly,5.119868637110017,6.777777777777779,False
Mabeuf,Enjolras,3.764705882352941,3.764705882352941,True
Mabeuf,Combeferre,3.0588235294117645,3.0588235294117645,True
Mabeuf,Feuilly,2.0555555555555554,2.0555555555555554,True
Mabeuf,Courfeyrac,3.5681444991789824,6.0769230769230775,False
Mabeuf,Bahorel,2.4523809523809526,3.384615384615385,False
Mabeuf,Bossuet,3.0675883256528422,3.3888888888888893,False
Mabeuf,Joly,1.8095238095238098,1.8095238095238098,True
Mabeuf,MotherPlutarch,inf,inf,True
Enjolras,Combeferre,1.7241379310344827,1.7241379310344827,True
Enjolras,Prouvaire,3.0588235294117645,3.0588235294117645,True
Enjolras,Feuilly,1.9583333333333335,1.9583333333333335,True
Enjolras,Courfeyrac,2.535714285714286,2.535714285714286,True
Enjolras,Bahorel,2.181818181818182,2.181818181818182,True
Enjolras,Bossuet,1.8387096774193545,1.8387096774193545,True
Enjolras,Joly,2.25,2.25,True
Enjolras,Grantaire,3.610389610389611,3.8461538461538467,False
Enjolras,Claquesous,13.464285714285715,13.799999999999999,False
Enjolras,MmeHucheloup,5.443722943722944,9.166666666666666,False
Combeferre,Prouvaire,2.625,2.625,True
Combeferre,Feuilly,1.458333333333333,1.458333333333333,True
Combeferre,Courfeyrac,0.9487179487179485,0.9487179487179485,True
Combeferre,Bahorel,1.2000000000000002,1.2000000000000002,True
Combeferre,Bossuet,1.4516129032258065,1.4516129032258065,True
Combeferre,Joly,1.842857142857143,1.9130434782608696,False
Combeferre,Grantaire,2.628571428571429,3.333333333333333,False
Prouvaire,Feuilly,1.5882352941176472,1.5882352941176472,True
Prouvaire,Courfeyrac,3.5737179487179485,5.153846153846153,False
Prouvaire,Bahorel,2.642857142857143,3.8,False
Prouvaire,Bossuet,3.2580645161290325,4.538461538461538,False
Prouvaire,Joly,2.0,2.0,True
Prouvaire,Grantaire,2.2,2.2,True
Feuilly,Courfeyrac,2.4070512820512815,3.3684210526315788,False
Feuilly,Bahorel,1.8511904761904763,1.941176470588235,False
Feuilly,Bossuet,2.466397849462366,2.4761904761904763,False
Feuilly,Joly,1.2083333333333335,1.2083333333333335,True
Feuilly,Grantaire,2.6363636363636362,2.6363636363636362,True
Courfeyrac,Bahorel,1.535714285714286,1.535714285714286,True
Courfeyrac,Bossuet,1.7058823529411766,1.7058823529411766,True
Courfeyrac,Joly,1.7586206896551726,1.7586206896551726,True
Courfeyrac,Grantaire,2.964285714285715,3.928571428571428,False
Courfeyrac,MmeHucheloup,4.7976190476190474,10.333333333333332,False
Bahorel,Bossuet,1.25,1.25,True
Bahorel,Joly,0.6428571428571428,0.6428571428571428,True
Bahorel,Grantaire,1.4285714285714288,1.4285714285714288,True
Bahorel,MmeHucheloup,3.261904761904762,4.5,False
Bossuet,Joly,1.2580645161290325,1.2580645161290325,True
Bossuet,Grantaire,2.678571428571429,3.0,False
Bossuet,MmeHucheloup,4.511904761904762,9.0,False
Joly,Grantaire,1.8666666666666667,1.8666666666666667,True
Joly,MmeHucheloup,3.6999999999999997,6.166666666666667,False
Grantaire,MmeHucheloup,1.833333333333333,1.833333333333333,True
Gueulemer,Babet,0.6923076923076923,0.6923076923076923,True
Gueulemer,Claquesous,1.0,1.0,True
Gueulemer,Montparnasse,1.25,1.25,True
Gueulemer,Brujon,2.375,2.5,False
Babet,Claquesous,0.8571428571428572,0.8571428571428572,True
Babet,Montparnasse,1.6666666666666665,1.6666666666666665,True
Babet,Brujon,2.7916666666666665,2.857142857142857,False
Claquesous,Montparnasse,1.875,1.875,True
Claquesous,Brujon,2.571428571428571,2.571428571428571,True
Montparnasse,Brujon,1.125,1.125,True
Child1,Child2,85.0,inf,False
